,accuracy,precision,recall_score,f1score,brierscore,expectedcalibrationerror,inferencetime,auroc
0,0.983,0.983,0.983,0.983,0.029991601562500025,0.01396184368133545,0.741,0
1,0.982,0.982,0.982,0.982,0.03002880859375001,0.012718170756101608,0.500,0
2,0.981,0.981,0.981,0.981,0.030825976562499968,0.013347179645299911,0.517,0
3,0.981,0.981,0.981,0.981,0.03114794921874997,0.011787571144104003,0.486,0
4,0.983,0.983,0.983,0.983,0.028415136718749956,0.013959939736127854,0.502,0
5,0.984,0.984,0.984,0.984,0.027709179687499974,0.014265597891807556,0.517,0
6,0.978,0.978,0.978,0.978,0.03380937500000003,0.010127747398614884,0.435,0
7,0.981,0.981,0.981,0.981,0.031116210937500055,0.012103483486175537,0.520,0
8,0.983,0.983,0.983,0.983,0.028629296875000043,0.01457651144862175,0.486,0
9,0.98,0.98,0.98,0.98,0.03081367187499995,0.011126073741912842,0.492,0
10,0.982,0.982,0.982,0.982,0.02894345703125001,0.013594297021627426,0.560,0
11,0.982,0.982,0.982,0.982,0.029755175781249976,0.014336805647611618,0.490,0
12,0.981,0.981,0.981,0.981,0.03189082031250001,0.013839766067266465,0.356,0
13,0.98,0.98,0.98,0.98,0.03259648437499996,0.012276855164766311,0.411,0
14,0.981,0.981,0.981,0.981,0.03178359374999995,0.011807442426681518,0.487,0
15,0.98,0.98,0.98,0.98,0.031175585937500028,0.011237741947174073,0.482,0
16,0.981,0.981,0.981,0.981,0.031104101562499986,0.013192573565244675,0.487,0
17,0.981,0.981,0.981,0.981,0.03234013671875002,0.013388211864233017,0.398,0
18,0.981,0.981,0.981,0.981,0.03119306640624997,0.013382177662849427,0.484,0
19,0.981,0.981,0.981,0.981,0.030921191406250048,0.012030680531263351,0.494,0
20,0.98,0.98,0.98,0.98,0.03174560546875005,0.011809924674034118,0.430,0
21,0.983,0.983,0.983,0.983,0.029062597656249967,0.014481241035461426,0.489,0
22,0.983,0.983,0.983,0.983,0.029448730468749962,0.014489372485876083,0.434,0
23,0.982,0.982,0.982,0.982,0.029887011718749967,0.013137578201293946,0.490,0
24,0.982,0.982,0.982,0.982,0.028450683593750026,0.013638199543952942,0.516,0
25,0.982,0.982,0.982,0.982,0.029732910156250014,0.013001271313428878,0.509,0
26,0.978,0.978,0.978,0.978,0.03396396484374997,0.009351581639051438,0.481,0
27,0.979,0.979,0.979,0.979,0.033809472656250006,0.011128133940696717,0.486,0
28,0.983,0.983,0.983,0.983,0.02773730468750002,0.012984346795082093,0.491,0
29,0.983,0.983,0.983,0.983,0.029437011718750017,0.014452451103925705,0.509,0
30,0.981,0.981,0.981,0.981,0.030818750000000006,0.01192545251250267,0.486,0
31,0.982,0.982,0.982,0.982,0.028777050781250035,0.012812337440252303,0.423,0
32,0.98,0.98,0.98,0.98,0.03257519531249997,0.011831956404447555,0.673,0
33,0.983,0.983,0.983,0.983,0.028797851562500032,0.01322598425745964,0.494,0
34,0.984,0.984,0.984,0.984,0.027676757812500008,0.014477711910009385,0.487,0
35,0.982,0.982,0.982,0.982,0.02991220703124997,0.012529668164253235,0.507,0
36,0.982,0.982,0.982,0.982,0.03063691406250002,0.012502957379817962,0.486,0
37,0.982,0.982,0.982,0.982,0.029004589843749984,0.01407118791937828,0.518,0
38,0.982,0.982,0.982,0.982,0.03001542968750004,0.014088447803258896,0.492,0
