,accuracy,precision,recall_score,f1score,brierscore,expectedcalibrationerror,inferencetime,auroc
0,0.979,0.979,0.979,0.979,0.03209941406250005,0.01157203124165535,1.949,0.999707944322493
1,0.98,0.98,0.98,0.98,0.0310744140625,0.013162279808521271,1.515,0.9997723587226177
2,0.983,0.983,0.983,0.983,0.028839843750000038,0.014664288181066513,1.465,0.9997764509090727
3,0.979,0.979,0.979,0.979,0.03289013671874996,0.01028781037926674,1.332,0.9996969150842439
4,0.979,0.979,0.979,0.979,0.03333388671875004,0.01204239677786827,1.234,0.9997209323284684
5,0.98,0.98,0.98,0.98,0.03127207031250001,0.012849533641338349,2.116,0.9997727974165713
6,0.978,0.978,0.978,0.978,0.03259414062499999,0.011856852698326112,1.026,0.9997007097582558
7,0.98,0.98,0.98,0.98,0.03176240234375005,0.012410430365800857,1.476,0.9997336444216505
8,0.979,0.979,0.979,0.979,0.033006445312499966,0.011821265214681626,3.480,0.9996864474856384
9,0.983,0.983,0.983,0.983,0.02830576171874999,0.01345827739238739,1.860,0.9998043271386511
