,accuracy,precision,recall_score,f1score,brierscore,expectedcalibrationerror,inferencetime,auroc
0,0.847,0.846,0.847,0.846,0.22061538085937504,0.014982767552137375,17.550,0.9857040066922366
1,0.845,0.844,0.845,0.844,0.22526938476562497,0.023256917530298234,2.098,0.9854930705811856
2,0.842,0.841,0.842,0.841,0.22947856445312498,0.017882177186012267,2.082,0.9846763232285044
3,0.858,0.857,0.858,0.857,0.20732348632812503,0.01780642105937004,1.690,0.987425702241624
4,0.85,0.85,0.85,0.849,0.21572583007812496,0.015787418115139007,2.092,0.9866588630450408
5,0.846,0.845,0.846,0.845,0.222252001953125,0.014229695236682893,2.416,0.9855524077902704
6,0.848,0.847,0.848,0.847,0.22230922851562496,0.02113376441001892,2.131,0.9858335502413546
7,0.853,0.852,0.853,0.852,0.21103627929687496,0.013769262939691544,2.150,0.9877937546575204
8,0.848,0.847,0.848,0.847,0.221743359375,0.017966671657562255,2.098,0.9855615003466942
9,0.849,0.848,0.849,0.849,0.218164013671875,0.015032256317138672,2.293,0.985997695723942
10,0.849,0.847,0.849,0.848,0.22046650390625,0.017797711861133575,2.102,0.9861752589757241
11,0.841,0.84,0.841,0.84,0.22920566406249998,0.01978257274031639,1.993,0.9850394776206135
12,0.847,0.845,0.847,0.846,0.220719921875,0.022311642163991927,2.144,0.9862796432655317
13,0.842,0.842,0.842,0.842,0.226512060546875,0.015931124237179756,2.268,0.985661420778208
14,0.847,0.846,0.847,0.846,0.22049892578124997,0.016228271466493607,2.063,0.9861476154161416
15,0.844,0.844,0.844,0.844,0.220557568359375,0.018126122415065764,2.118,0.9862105610916251
16,0.844,0.843,0.844,0.843,0.222902197265625,0.02023836405277252,2.405,0.9859606939822445
17,0.849,0.848,0.849,0.848,0.21699316406250002,0.01660336444377899,2.251,0.9862961496702987
18,0.848,0.847,0.848,0.847,0.21943618164062495,0.017315853184461594,2.125,0.9862861451716853
19,0.845,0.845,0.845,0.845,0.21977197265625004,0.015872855174541473,2.088,0.986345174067108
20,0.843,0.841,0.843,0.842,0.223529296875,0.024861476376652716,2.118,0.9860584556678823
21,0.844,0.843,0.844,0.843,0.22408007812499997,0.01875066620707512,2.536,0.9857958750839749
22,0.846,0.846,0.846,0.845,0.218669921875,0.01880061973929405,2.273,0.9866229584413773
23,0.845,0.845,0.845,0.845,0.221038818359375,0.021168277791142463,2.256,0.9864837162198761
24,0.842,0.841,0.842,0.841,0.22403007812499998,0.021750852727890013,2.079,0.9860953337225821
25,0.848,0.848,0.848,0.848,0.219603662109375,0.024010179209709166,2.215,0.9862272144418898
26,0.841,0.84,0.841,0.84,0.22838271484374995,0.019644983792304994,2.059,0.9856925225793922
27,0.844,0.843,0.844,0.843,0.225739453125,0.015706417229771615,2.725,0.9846282558034073
28,0.852,0.851,0.852,0.851,0.21515371093750002,0.013765252500772476,2.605,0.9860163364675156
29,0.846,0.845,0.846,0.845,0.22081074218749996,0.01717791509628296,1.627,0.985457288075302
30,0.841,0.84,0.841,0.84,0.22781962890624996,0.020600318038463593,2.340,0.9850980872570038
31,0.843,0.842,0.843,0.842,0.22389423828125,0.019198894023895265,2.279,0.9857840577507018
32,0.844,0.843,0.844,0.844,0.222683203125,0.02129665629863739,2.831,0.9860946311818743
33,0.847,0.846,0.847,0.846,0.22028315429687495,0.019533652794361114,2.267,0.9859703244441794
34,0.85,0.849,0.85,0.849,0.21748032226562497,0.016078123021125792,1.933,0.9864622422600012
35,0.85,0.849,0.85,0.849,0.21662460937500005,0.014812347543239594,2.190,0.986352751515694
36,0.848,0.847,0.848,0.847,0.22275336914062505,0.022969765692949295,1.378,0.9862240777728839
37,0.848,0.847,0.848,0.847,0.221385546875,0.01552232421040535,2.152,0.9858454305571565
38,0.852,0.851,0.852,0.851,0.21287192382812503,0.01818600399494171,2.118,0.9867614963761511
39,0.842,0.841,0.842,0.841,0.22423237304687504,0.019299669456481934,2.066,0.985558756691432
40,0.841,0.839,0.841,0.84,0.22848769531250002,0.018524070385098457,1.531,0.9844661651054112
41,0.852,0.852,0.852,0.852,0.215267919921875,0.015951124370098112,2.099,0.9861783008903633
42,0.843,0.842,0.843,0.842,0.22654233398437496,0.015179692214727402,2.052,0.9852605581526085
43,0.846,0.845,0.846,0.845,0.22068286132812498,0.016746110275387763,2.118,0.9858814656522992
44,0.848,0.847,0.848,0.847,0.22094697265624996,0.01865154538154602,2.127,0.9852560571966629
45,0.848,0.847,0.848,0.847,0.21919677734374998,0.020125937488675118,2.218,0.9861248134758422
46,0.84,0.839,0.84,0.839,0.22826655273437502,0.018999192255735396,1.673,0.9848857494671325
47,0.85,0.849,0.85,0.849,0.21577812500000004,0.01534308878183365,1.887,0.9861814632925231
48,0.849,0.849,0.849,0.848,0.21585302734375,0.01794760890007019,1.446,0.9865340171916207
49,0.84,0.839,0.84,0.839,0.229689892578125,0.018253136336803436,2.131,0.9846257699647879
50,0.846,0.845,0.846,0.845,0.22120458984375002,0.020361108309030533,2.182,0.985904567050356
51,0.845,0.845,0.845,0.844,0.22715107421875003,0.016635755228996275,2.059,0.9848087590327024
52,0.855,0.855,0.855,0.854,0.213138330078125,0.018241870200634003,2.170,0.9867317249766323
53,0.851,0.85,0.851,0.85,0.21617797851562504,0.018100321581959726,2.152,0.9867743491219935
54,0.849,0.848,0.849,0.848,0.21796191406249998,0.020117653524875642,2.100,0.9862125191262978
55,0.846,0.845,0.846,0.845,0.22478798828125002,0.01951784710884094,2.305,0.9856968050639437
56,0.845,0.843,0.845,0.844,0.22206909179687495,0.019174667909741403,1.660,0.9860060046443202
57,0.844,0.843,0.844,0.843,0.22298935546874998,0.01648507846593857,2.276,0.9853425996999621
58,0.849,0.849,0.849,0.848,0.22165498046874998,0.016437218368053435,2.205,0.9860257224062415
59,0.851,0.851,0.851,0.851,0.21830083007812495,0.015680765607953073,2.157,0.9857995057149183
60,0.844,0.842,0.844,0.843,0.22434731445312495,0.02294734927415848,2.099,0.9862513685076892
61,0.84,0.839,0.84,0.839,0.22921699218750002,0.01966874318122864,2.291,0.9848187124054281
62,0.85,0.849,0.85,0.849,0.21877456054687505,0.017238576430082322,2.241,0.9857561474870933
63,0.844,0.843,0.844,0.843,0.22299326171875,0.01890457525253296,2.832,0.986143149504259
64,0.849,0.847,0.849,0.848,0.22109287109374998,0.01680374011993408,2.134,0.9856722266723776
65,0.842,0.841,0.842,0.842,0.22840825195312497,0.015227457249164581,2.306,0.9844726415226246
66,0.847,0.846,0.847,0.846,0.21859262695312498,0.01975706288814545,2.132,0.9860307209406886
67,0.846,0.845,0.846,0.845,0.22665190429687498,0.01808522013425827,2.075,0.9849216419992759
68,0.848,0.847,0.848,0.847,0.21959443359374997,0.013354119288921357,2.170,0.9858966309402282
69,0.848,0.848,0.848,0.847,0.21874360351562505,0.014653365182876587,2.083,0.9856130666251299
70,0.856,0.856,0.856,0.856,0.204315576171875,0.012446516370773316,2.262,0.9872685337015208
71,0.851,0.851,0.851,0.851,0.21444643554687504,0.013783440124988555,2.076,0.9865536088113325
