,accuracy,precision,recall_score,f1score,brierscore,expectedcalibrationerror,inferencetime,auroc
0,0.843,0.843,0.843,0.842,0.22823212890625,0.01640370808541775,1.763,0.9846496991689424
1,0.844,0.844,0.844,0.843,0.22137373046874997,0.01691114525794983,1.440,0.9855171032264938
2,0.846,0.846,0.846,0.846,0.21902216796874996,0.017295802250504495,1.398,0.9861423847249053
3,0.842,0.841,0.842,0.841,0.22156679687500003,0.016203652930259705,1.457,0.9860692689689687
4,0.847,0.847,0.847,0.847,0.221256884765625,0.01563642450273037,1.818,0.9858291237422877
5,0.843,0.842,0.843,0.842,0.22314780273437496,0.020872930505871773,1.655,0.9860978259835033
6,0.843,0.842,0.843,0.843,0.22242778320312495,0.013986180791258813,1.443,0.9853597357824521
7,0.851,0.85,0.851,0.85,0.21533955078125,0.015325436902046203,1.474,0.9865091896540781
8,0.844,0.843,0.844,0.843,0.224281201171875,0.015429548320174217,1.728,0.9844947889713218
9,0.852,0.852,0.852,0.852,0.21735161132812497,0.015688226175308226,1.569,0.9861032055686536
10,0.84,0.84,0.84,0.84,0.226325927734375,0.016641795003414155,1.514,0.9858665532016605
11,0.842,0.841,0.842,0.841,0.22664814453125004,0.017410048308968543,1.639,0.9854819745430428
12,0.847,0.846,0.847,0.846,0.21517026367187497,0.017541274556517602,1.736,0.986415110730604
13,0.845,0.844,0.845,0.844,0.22421625976562498,0.02178382239341736,1.673,0.9860056886252251
14,0.846,0.845,0.846,0.845,0.21568154296874997,0.014825331237912178,2.116,0.9858595492007314
15,0.853,0.852,0.853,0.852,0.21145439453125003,0.016558591744303703,1.676,0.9863444233654727
16,0.842,0.841,0.842,0.842,0.22561171874999997,0.016957118010520935,1.677,0.9854271464108952
17,0.844,0.844,0.844,0.844,0.22042988281249998,0.015331672668457032,1.483,0.9859951007361019
18,0.843,0.842,0.843,0.842,0.22808720703124996,0.0187447615981102,1.527,0.9850032197026104
19,0.85,0.85,0.85,0.85,0.21847026367187505,0.014536446082592011,1.454,0.9859222647896114
20,0.843,0.843,0.843,0.843,0.22150292968749996,0.018045027557015418,1.476,0.985870139124865
21,0.841,0.841,0.841,0.841,0.22575761718749998,0.016897808626294135,1.690,0.9851437640808429
22,0.846,0.845,0.846,0.845,0.22159541015624995,0.019267323303222655,1.558,0.985747133227836
23,0.851,0.851,0.851,0.851,0.21303417968750005,0.013432171520590782,1.558,0.9867846354573899
24,0.849,0.848,0.849,0.848,0.21940605468749996,0.01398017004430294,1.495,0.9861425681147227
25,0.844,0.843,0.844,0.843,0.22189360351562504,0.015278406289219856,1.505,0.9853734666990306
26,0.849,0.848,0.849,0.848,0.21760556640624995,0.016676721397042276,1.870,0.9860274069533379
27,0.845,0.845,0.845,0.845,0.22202421875,0.018377109327912332,1.345,0.9854471730115009
28,0.845,0.845,0.845,0.845,0.222898583984375,0.017682902836799623,1.738,0.9853710825373663
29,0.846,0.845,0.846,0.845,0.22223867187500002,0.01351709546148777,1.705,0.98553051227302
30,0.848,0.847,0.848,0.847,0.21881831054687495,0.017368932056427002,1.724,0.9862997167348005
31,0.844,0.843,0.844,0.843,0.21816899414062496,0.019352901208400726,1.404,0.9861973828991969
32,0.844,0.843,0.844,0.843,0.22147666015625,0.01625379593372345,1.445,0.9854178024114717
33,0.845,0.845,0.845,0.845,0.223642138671875,0.01896681509912014,1.340,0.9857251284294305
34,0.845,0.845,0.845,0.844,0.21947861328124996,0.015061590513586997,1.505,0.9857663450854807
35,0.848,0.847,0.848,0.848,0.21599790039062505,0.01700921331346035,1.639,0.9861968957642452
36,0.843,0.842,0.843,0.842,0.22557080078125002,0.015324564042687417,1.668,0.9849454114960746
37,0.846,0.845,0.846,0.845,0.217266552734375,0.013030063837766647,1.566,0.9863443724125383
