,accuracy,precision,recall_score,f1score,brierscore,expectedcalibrationerror,inferencetime,auroc
0,0.992,0.992,0.992,0.992,0.026198144531250023,0.06557528693675994,2.655,0.9829135496436634
1,0.989,0.989,0.989,0.989,0.030286328124999984,0.06503629040718079,0.379,0.9824542696939057
2,0.988,0.988,0.988,0.988,0.03227910156250002,0.06490689916610717,0.393,0.9811842105263158
3,0.988,0.988,0.988,0.988,0.03135449218749997,0.06525279648303986,0.388,0.9828508771929825
4,0.988,0.988,0.988,0.988,0.030753222656250023,0.06419116822481155,0.382,0.989221181358523
5,0.99,0.99,0.99,0.99,0.028651171874999992,0.0641797387123108,0.372,0.9835141977583113
6,0.99,0.99,0.99,0.99,0.02820253906250003,0.06434187440872192,0.546,0.9838787464086826
7,0.989,0.989,0.989,0.989,0.03175673828125003,0.0674963294506073,0.406,0.9768756364634942
8,0.988,0.988,0.988,0.988,0.03224384765624999,0.06722484652996064,0.394,0.9842869898001521
9,0.991,0.991,0.991,0.991,0.028924804687500028,0.06765292885303498,0.555,0.9808450730060899
10,0.99,0.99,0.99,0.99,0.02891308593749997,0.06658575778007507,0.394,0.9834789096410126
11,0.99,0.99,0.99,0.99,0.029399218749999956,0.06650136983394622,0.389,0.9844767676767677
12,0.992,0.992,0.992,0.992,0.026498242187499965,0.06483609954118728,0.400,0.9794952758964975
13,0.989,0.989,0.989,0.989,0.030945800781249977,0.06634110770225525,0.381,0.9819080848358761
14,0.989,0.989,0.989,0.989,0.029520898437500054,0.06438690533638,0.363,0.9832107128009734
15,0.989,0.989,0.989,0.989,0.030380175781249963,0.06542512376308442,0.392,0.9854621763754045
16,0.989,0.989,0.989,0.989,0.030333007812500035,0.06531202144622802,0.382,0.9819457548935916
17,0.989,0.989,0.989,0.989,0.02987783203125005,0.065443155169487,0.396,0.9834548096616589
18,0.991,0.991,0.991,0.991,0.028541796875000025,0.06603975806236267,0.382,0.9815284955174384
19,0.991,0.991,0.991,0.991,0.027654785156249972,0.06539812494516373,0.385,0.9865721156377807
20,0.99,0.99,0.99,0.99,0.030424707031249998,0.067688631772995,0.397,0.9852193582488651
21,0.988,0.988,0.988,0.988,0.03045537109374996,0.06401575326919556,0.417,0.9846285881745489
22,0.991,0.991,0.991,0.991,0.027985156249999976,0.06453014969825745,0.394,0.9790469783608028
23,0.99,0.99,0.99,0.99,0.02910195312499997,0.06496956949234009,0.528,0.9859578073502892
24,0.99,0.99,0.99,0.99,0.030157128906249997,0.06550036708116531,0.388,0.9808897145699894
25,0.99,0.99,0.99,0.99,0.028801953125,0.06553331406116486,0.385,0.9865415768407948
26,0.989,0.989,0.989,0.989,0.029172656249999984,0.06425829598903655,0.388,0.9824784222189168
27,0.989,0.989,0.989,0.989,0.03071210937500002,0.06601128294467926,0.413,0.9830839735813451
28,0.989,0.989,0.989,0.989,0.03074033203125004,0.06660689601898194,0.387,0.980533275360329
29,0.988,0.988,0.988,0.988,0.03164355468750002,0.06401533837318421,0.376,0.9789811066126856
30,0.988,0.988,0.988,0.988,0.030561718750000022,0.06256638015508652,0.384,0.9810323886639676
31,0.99,0.99,0.99,0.99,0.030811914062499945,0.06752892813682557,0.401,0.9821217585971022
32,0.991,0.991,0.991,0.991,0.027383007812500026,0.06450900109112263,0.564,0.9796613970176029
33,0.989,0.989,0.989,0.989,0.03010175781250002,0.06545287282466888,0.387,0.981582573272828
34,0.99,0.99,0.99,0.99,0.029653124999999947,0.06558731808662414,0.387,0.9815415562306523
35,0.991,0.991,0.991,0.991,0.028544921875000018,0.06697912786006928,0.383,0.9801636954815562
36,0.989,0.989,0.989,0.989,0.029414550781249993,0.06517974182367325,0.396,0.9834662517020035
37,0.99,0.99,0.99,0.99,0.0288921875,0.06343099398612977,0.545,0.9844459299794789
38,0.99,0.99,0.99,0.99,0.029221191406250013,0.06506160430908203,0.369,0.9817709261922591
39,0.989,0.989,0.989,0.989,0.03208720703125001,0.06666686501502991,0.383,0.977682421712789
40,0.99,0.99,0.99,0.99,0.030778515625000002,0.06838234686851502,0.411,0.9832408210809076
41,0.989,0.989,0.989,0.989,0.031010058593749945,0.06646385173797607,0.375,0.9811033232990369
42,0.99,0.99,0.99,0.99,0.030120312500000024,0.06613446474075317,0.376,0.984830700827063
43,0.99,0.99,0.99,0.99,0.030290332031249978,0.066934288752079,0.376,0.9824167290678647
44,0.99,0.99,0.99,0.99,0.02828046875000001,0.06603134256601334,0.380,0.9870380654281098
45,0.992,0.992,0.992,0.992,0.026726953124999953,0.06687129426002503,0.377,0.9864547828781374
46,0.988,0.988,0.988,0.988,0.03114638671875003,0.06389985878467559,0.407,0.9799704307437938
47,0.988,0.988,0.988,0.988,0.03155009765625005,0.06481740846633911,0.548,0.9836032381944975
48,0.99,0.99,0.99,0.99,0.02801855468750003,0.06499767031669616,0.401,0.9871070707070706
49,0.99,0.99,0.99,0.99,0.029411328125000025,0.06709995694160462,0.379,0.9825659666128164
50,0.991,0.991,0.991,0.991,0.02868427734375001,0.06596057577133178,0.413,0.9824048180556809
51,0.989,0.989,0.989,0.989,0.029771191406249953,0.0648067162513733,0.371,0.9842708660945619
52,0.989,0.989,0.989,0.989,0.03118007812500001,0.06743505153656006,0.391,0.9789771578734587
53,0.99,0.99,0.99,0.99,0.029925585937500054,0.06636458492279053,0.388,0.9858917355885828
54,0.99,0.99,0.99,0.99,0.029157812500000047,0.06594057207107544,0.377,0.9844525252525252
55,0.989,0.989,0.989,0.989,0.029508496093749947,0.06317055826187133,0.370,0.9870098065312989
56,0.989,0.989,0.989,0.989,0.03066855468749996,0.06475037212371826,0.394,0.9825484204137696
57,0.989,0.989,0.989,0.989,0.030487109374999988,0.06581310720443725,0.377,0.9824822362323649
58,0.989,0.989,0.989,0.989,0.02981953125000003,0.06419911432266236,0.376,0.9832300335182618
59,0.989,0.989,0.989,0.989,0.03043720703124997,0.06579097700119019,0.378,0.9828705575773914
60,0.989,0.989,0.989,0.989,0.030529101562499994,0.06587007927894592,0.372,0.9807925596441569
61,0.988,0.988,0.988,0.988,0.031478515625000036,0.0651826994895935,0.399,0.9831072874493927
62,0.989,0.989,0.989,0.989,0.030202050781250045,0.06615610661506653,0.392,0.9824402820844346
63,0.988,0.988,0.988,0.988,0.030962695312499955,0.06498791375160218,0.377,0.9819387655423604
64,0.989,0.989,0.989,0.989,0.03062343749999996,0.06532510311603545,0.393,0.9838900305588978
65,0.988,0.988,0.988,0.988,0.02925566406250002,0.06124455919265747,0.398,0.9834842797136438
66,0.99,0.99,0.99,0.99,0.02881591796875005,0.0638653315514326,0.396,0.9833477945633698
67,0.99,0.99,0.99,0.99,0.028565429687499977,0.0655693298816681,0.558,0.9830203284868066
68,0.99,0.99,0.99,0.99,0.028457324218750024,0.06487567259669304,0.375,0.9832606060606061
69,0.988,0.988,0.988,0.988,0.03191826171875001,0.06454741201400757,0.387,0.9816947082272578
70,0.99,0.99,0.99,0.99,0.028570312499999972,0.06528846402168274,0.383,0.9826795570813139
71,0.989,0.989,0.989,0.989,0.030581738281249993,0.0656327262878418,0.396,0.9816968471366855
72,0.991,0.991,0.991,0.991,0.028710058593749976,0.06576982407569885,0.566,0.9824950277287353
73,0.99,0.99,0.99,0.99,0.02888105468750002,0.0648079726934433,0.390,0.9814383838383838
74,0.991,0.991,0.991,0.991,0.027682226562499967,0.0664783839225769,0.378,0.9851466800531078
75,0.99,0.99,0.99,0.99,0.028093164062499953,0.06437148485183716,0.377,0.9817245557350566
76,0.99,0.99,0.99,0.99,0.028077832031250027,0.06279476875066757,0.544,0.9869488837758846
77,0.992,0.992,0.992,0.992,0.028139355468750016,0.06675571508407593,0.592,0.9823613592270308
