,accuracy,precision,recall_score,f1score,brierscore,expectedcalibrationerror,inferencetime,auroc
0,0.984,0.984,0.984,0.984,0.026694628906249962,0.010308746849000454,1.819,0.8187925758422376
1,0.986,0.986,0.986,0.986,0.02576660156249999,0.011227937576174737,2.005,0.8187925758422376
2,0.987,0.987,0.987,0.987,0.02262470703124997,0.009526884078979492,2.105,0.8187925758422376
3,0.988,0.988,0.988,0.988,0.023784960937500044,0.011551141868531704,1.558,0.8187925758422376
4,0.985,0.985,0.985,0.985,0.02781152343750004,0.011918884025514127,1.384,0.8187925758422376
5,0.984,0.984,0.984,0.984,0.02888759765625004,0.012178782913088798,2.054,0.8187925758422376
6,0.984,0.984,0.984,0.984,0.027843554687499994,0.010933006545901298,1.489,0.8187925758422376
7,0.985,0.985,0.985,0.985,0.025792675781249996,0.009979419326782226,1.745,0.8187925758422376
8,0.986,0.986,0.986,0.986,0.026797656249999968,0.0122878662109375,1.749,0.8187925758422376
9,0.985,0.985,0.985,0.985,0.026752929687499982,0.011210436759889126,1.557,0.8187925758422376
10,0.985,0.985,0.985,0.985,0.027217089843750042,0.011572023651003838,2.058,0.8187925758422376
11,0.987,0.987,0.987,0.987,0.024252734374999974,0.011000298820436,2.482,0.8187925758422376
12,0.985,0.985,0.985,0.985,0.02708818359374998,0.011610436759889126,0.944,0.8187925758422376
13,0.985,0.985,0.985,0.985,0.027104003906250007,0.010989556884765625,2.051,0.8187925758422376
14,0.984,0.984,0.984,0.984,0.029564160156249963,0.012623952995240688,1.959,0.8187925758422376
15,0.983,0.984,0.983,0.983,0.029465722656250026,0.012143781661987305,2.041,0.8187925758422376
16,0.983,0.983,0.983,0.983,0.029884374999999963,0.012536386367678643,2.059,0.8187925758422376
17,0.987,0.987,0.987,0.987,0.024315332031250025,0.010989555358886719,2.222,0.8187925758422376
18,0.986,0.986,0.986,0.986,0.024706347656250016,0.009600299201905728,1.988,0.8187925758422376
19,0.984,0.985,0.984,0.984,0.02742734375,0.011098006439208984,1.069,0.8187925758422376
20,0.987,0.987,0.987,0.987,0.024393066406250052,0.010975402328372002,2.126,0.8187925758422376
21,0.985,0.985,0.985,0.985,0.024455468750000042,0.008831317016482354,1.932,0.8187925758422376
22,0.986,0.986,0.986,0.986,0.02574111328124995,0.011112125144898892,1.817,0.8187925758422376
23,0.984,0.984,0.984,0.984,0.028071972656250055,0.011035332870483399,1.840,0.8187925758422376
24,0.986,0.986,0.986,0.986,0.026031347656250037,0.011821178695559502,1.629,0.8187925758422376
25,0.984,0.984,0.984,0.984,0.028693749999999962,0.012417194877564907,1.864,0.8187925758422376
26,0.986,0.986,0.986,0.986,0.027147167968750052,0.013537020111083984,2.686,0.8187925758422376
27,0.985,0.985,0.985,0.985,0.02654414062499999,0.010961282478272915,1.910,0.8187925758422376
28,0.986,0.986,0.986,0.986,0.024326562499999982,0.0102562127456069,1.876,0.8187925758422376
29,0.984,0.984,0.984,0.984,0.029179296874999983,0.012164661155641078,1.849,0.8187925758422376
30,0.986,0.986,0.986,0.986,0.02508339843749996,0.010242091751098633,1.473,0.8187925758422376
31,0.987,0.987,0.987,0.987,0.024305957031250047,0.010508747611939907,1.811,0.8187925758422376
32,0.984,0.984,0.984,0.984,0.02841416015624998,0.011336385604739188,2.240,0.8187925758422376
33,0.984,0.984,0.984,0.984,0.029099511718750026,0.012623953758180142,2.305,0.8187925758422376
34,0.986,0.986,0.986,0.986,0.027805761718750044,0.01329860662072897,2.349,0.8187925758422376
35,0.984,0.984,0.984,0.984,0.02933720703124998,0.012438074752688408,1.913,0.8187925758422376
36,0.984,0.985,0.984,0.984,0.026214550781250012,0.009821178695559502,1.281,0.8187925758422376
37,0.982,0.983,0.982,0.982,0.03203974609375004,0.013999057266116142,1.862,0.8187925758422376
38,0.984,0.984,0.984,0.984,0.02889306640625,0.01218554103076458,1.492,0.8187925758422376
39,0.986,0.986,0.986,0.986,0.024726660156250024,0.010456212745606899,1.587,0.8187925758422376
40,0.986,0.986,0.986,0.986,0.02698115234374998,0.012677090713381767,2.398,0.8187925758422376
41,0.984,0.984,0.984,0.984,0.029183300781249977,0.012638711929321289,2.186,0.8187925758422376
42,0.986,0.986,0.986,0.986,0.02449150390624999,0.010452833305299282,2.564,0.8187925758422376
43,0.984,0.984,0.984,0.984,0.02886191406250005,0.012062971626222134,2.059,0.8187925758422376
44,0.985,0.985,0.985,0.985,0.027429101562500002,0.012017194877564906,1.783,0.8187925758422376
45,0.985,0.986,0.985,0.985,0.02553544921874995,0.010312126670777797,2.111,0.8187925758422376
46,0.986,0.986,0.986,0.986,0.024924804687500024,0.010330263900756836,1.603,0.8187925758422376
47,0.985,0.985,0.985,0.985,0.025878808593750025,0.010529626724123956,1.608,0.8187925758422376
48,0.984,0.984,0.984,0.984,0.028690722656249945,0.012221178695559502,2.319,0.8187925758422376
49,0.987,0.987,0.987,0.987,0.02516425781249998,0.01181043523401022,1.351,0.8187925758422376
50,0.984,0.984,0.984,0.984,0.028314746093749954,0.011964661918580533,1.894,0.8187925758422376
51,0.984,0.984,0.984,0.984,0.028085644531249954,0.01085959180444479,2.196,0.8187925758422376
52,0.987,0.987,0.987,0.987,0.02337441406249996,0.009589556884765624,2.134,0.8187925758422376
53,0.988,0.988,0.988,0.988,0.02368183593749995,0.011705366264283657,2.293,0.8187925758422376
54,0.984,0.984,0.984,0.984,0.027979296875000004,0.011564661537110806,2.042,0.8187925758422376
55,0.985,0.985,0.985,0.985,0.025979296875000002,0.010564661537110805,2.106,0.8187925758422376
56,0.986,0.986,0.986,0.986,0.026511425781249986,0.012308746086061001,2.111,0.8187925758422376
57,0.986,0.986,0.986,0.986,0.025700878906249947,0.011533642959594727,2.279,0.8187925758422376
58,0.985,0.985,0.985,0.985,0.025863574218749963,0.010788919326663017,2.037,0.8187925758422376
59,0.985,0.985,0.985,0.985,0.026938476562500036,0.011154522834718227,2.032,0.8187925758422376
60,0.985,0.985,0.985,0.985,0.02748515625000003,0.01236127980798483,1.438,0.8187925758422376
61,0.985,0.985,0.985,0.985,0.027981152343749982,0.012483849593997001,1.302,0.8187925758422376
62,0.984,0.984,0.984,0.984,0.028414550781249992,0.012361281333863735,2.341,0.8187925758422376
63,0.986,0.986,0.986,0.986,0.02600185546875,0.011231315872073173,1.464,0.8187925758422376
64,0.986,0.986,0.986,0.986,0.027994531249999954,0.013438711547851562,2.069,0.8187925758422376
65,0.987,0.987,0.987,0.987,0.024534667968750035,0.010866953918337821,2.457,0.8187925758422376
66,0.984,0.984,0.984,0.984,0.027595117187499962,0.010743781661987304,2.504,0.8187925758422376
67,0.986,0.986,0.986,0.986,0.027137988281250025,0.013056210838258267,2.345,0.8187925758422376
68,0.982,0.982,0.982,0.982,0.029891406249999974,0.011073109947144985,1.960,0.8187925758422376
69,0.986,0.986,0.986,0.986,0.02662294921874997,0.01197202326953411,1.789,0.8187925758422376
70,0.985,0.985,0.985,0.985,0.028140917968749957,0.012312125144898892,1.990,0.8187925758422376
71,0.984,0.984,0.984,0.984,0.02736992187499998,0.010090610763430595,2.221,0.8187925758422376
72,0.984,0.984,0.984,0.984,0.028701953125000013,0.012234693405032158,1.805,0.8187925758422376
73,0.985,0.985,0.985,0.985,0.02459580078125001,0.008828573989868164,1.204,0.8187925758422376
74,0.983,0.984,0.983,0.983,0.030205664062500026,0.013112126670777798,1.386,0.8187925758422376
75,0.985,0.985,0.985,0.985,0.026510742187500047,0.011283849593997001,2.064,0.8187925758422376
76,0.986,0.986,0.986,0.986,0.024347460937499954,0.010003677879273892,1.048,0.8187925758422376
77,0.985,0.985,0.985,0.985,0.025999511718750035,0.010673713180422782,2.266,0.8187925758422376
78,0.986,0.986,0.986,0.986,0.027070996093749966,0.012337020874023438,2.250,0.8187925758422376
79,0.984,0.984,0.984,0.984,0.030752343750000022,0.014318884025514126,1.699,0.8187925758422376
80,0.984,0.984,0.984,0.984,0.026732812500000036,0.010354522834718228,1.764,0.8187925758422376
81,0.985,0.985,0.985,0.985,0.025775097656249968,0.009681108474731446,2.614,0.8187925758422376
82,0.984,0.984,0.984,0.984,0.028440820312499948,0.012115505729615688,2.311,0.8187925758422376
83,0.986,0.986,0.986,0.986,0.025967382812499995,0.011659591422975063,2.120,0.8187925758422376
84,0.986,0.986,0.986,0.986,0.025590624999999978,0.011017798873782158,1.933,0.8187925758422376
85,0.986,0.986,0.986,0.986,0.025867382812500006,0.011262968955934047,2.031,0.8187925758422376
86,0.984,0.984,0.984,0.984,0.02845624999999996,0.011856213127076626,2.488,0.8187925758422376
87,0.984,0.985,0.984,0.984,0.02819892578125005,0.012188919326663017,1.993,0.8187925758422376
88,0.983,0.983,0.983,0.983,0.028587597656249963,0.01098892123401165,1.907,0.8187925758422376
89,0.985,0.986,0.985,0.985,0.025643554687500014,0.010526247665286065,1.727,0.8187925758422376
90,0.984,0.984,0.984,0.984,0.028997558593749972,0.012694625854492188,2.061,0.8187925758422376
91,0.985,0.985,0.985,0.985,0.02762138671875003,0.011884487915039063,1.671,0.8187925758422376
92,0.985,0.985,0.985,0.985,0.027217675781250006,0.011210436759889126,2.073,0.8187925758422376
93,0.987,0.987,0.987,0.987,0.024332031250000052,0.011649452720582485,2.322,0.8187925758422376
94,0.984,0.984,0.984,0.984,0.029344140625000015,0.012361281715333463,1.067,0.8187925758422376
95,0.985,0.985,0.985,0.985,0.02791650390625,0.012683850356936454,1.839,0.8187925758422376
96,0.985,0.985,0.985,0.985,0.026110839843749956,0.011083850356936455,1.217,0.8187925758422376
97,0.983,0.984,0.983,0.983,0.028959863281249998,0.011540402221679687,1.187,0.8187925758422376
98,0.986,0.986,0.986,0.986,0.027659277343749955,0.013038711547851562,2.218,0.8187925758422376
99,0.987,0.987,0.987,0.987,0.023012890625000004,0.009435332870483398,1.719,0.8187925758422376
