,epoch_no,train_loss,val_loss,train_acc,val_acc
0,1,0.34042594390801895,0.22690299377441406,0.40520833333333334,0.6167
1,2,0.1835359328450301,0.23139092407226564,0.6687900641025641,0.7169
2,3,0.16488677139083543,0.24227654418945313,0.7311498397435897,0.657
3,4,0.1458982340227335,0.27377349853515626,0.7650440705128205,0.7979
4,5,0.13579029116110924,0.3060365966796875,0.7926482371794872,0.7784
5,6,0.12312398586326685,0.3398289306640625,0.8137419871794872,0.8006
6,7,0.12271041472752889,0.31041196899414064,0.815645032051282,0.812
7,8,0.10654864462140279,0.34527288818359375,0.8342948717948718,0.6446
8,9,0.10362799660517619,0.30934232788085936,0.8405649038461539,0.8189
9,10,0.09618222378194333,0.39555092773437495,0.8518629807692307,0.8324
10,11,0.09550684068638544,0.40220639648437495,0.8518629807692307,0.722
11,12,0.08849714573186178,0.36905941162109374,0.8614383012820512,0.8279
12,13,0.08877839765105493,0.399873291015625,0.857051282051282,0.8251
13,14,0.10082230346325116,0.36869335937500003,0.8464943910256411,0.7877
14,15,0.08099600778749357,0.38839102172851564,0.8689503205128205,0.8547
15,16,0.08200538364740519,0.388772265625,0.8731370192307693,0.8544
16,17,0.0830974424401155,0.38735791015625,0.8700721153846154,0.8475
17,18,0.09003761975237956,0.3856858581542969,0.8563902243589744,0.8174
18,19,0.08302811694641908,0.3314939880371094,0.8719551282051282,0.8172
19,20,0.08588791525898835,0.332165283203125,0.8692708333333333,0.7809
20,21,0.07474064569060619,0.3762418701171875,0.8828325320512821,0.8568
21,22,0.07489202012045261,0.3396537658691406,0.8829126602564102,0.8306
22,23,0.06911697994248989,0.404019775390625,0.889863782051282,0.8694
23,24,0.06925168324930546,0.3662750732421875,0.8891626602564102,0.8425
24,25,0.07114056954399134,0.30600796508789063,0.8902644230769231,0.8253
25,26,0.04523852137514414,0.4088415954589844,0.9325921474358975,0.9179
26,27,0.03921166126353618,0.40706794738769536,0.9446113782051282,0.923
27,28,0.03733249139995911,0.4078575042724609,0.9494591346153847,0.9255
28,29,0.03515413546791443,0.41286682739257813,0.9528645833333333,0.9248
29,30,0.03413156156356518,0.4143083740234375,0.9539663461538461,0.9268
30,31,0.03233314536702939,0.4186860626220703,0.9564703525641025,0.9232
31,32,0.033816226017780796,0.4067664031982422,0.9559294871794872,0.9143
32,33,0.03418319256832966,0.4112260223388672,0.9581330128205128,0.9097
33,34,0.03188244466884778,0.40696962585449215,0.9583133012820513,0.9216
34,35,0.031247280098688907,0.4262224487304688,0.958173076923077,0.9139
