,accuracy,precision,recall_score,f1score,brierscore,expectedcalibrationerror,inferencetime,auroc
0,0.915,0.922,0.915,0.915,0.13735322265625005,0.011591244208812714,17.376,0.9127538882108458
1,0.913,0.92,0.913,0.913,0.14397265625,0.018643171572685243,1.620,0.8990961023173661
2,0.911,0.917,0.911,0.911,0.14455097656250004,0.01711475715637207,1.541,0.9026543554089648
3,0.91,0.915,0.91,0.91,0.14601240234375001,0.01624477938115597,1.567,0.901802340120554
4,0.91,0.917,0.91,0.91,0.14592978515625,0.01856592937707901,1.603,0.9038141841118646
5,0.914,0.92,0.914,0.913,0.14314287109375,0.017978584599494935,1.666,0.8979348081663099
6,0.911,0.918,0.911,0.911,0.14825957031250003,0.019795891630649567,1.523,0.8935322222025284
7,0.91,0.917,0.91,0.91,0.14716621093750004,0.019362543272972106,1.580,0.9006206063268893
8,0.918,0.924,0.918,0.918,0.13575976562500003,0.012515080904960632,1.563,0.89930570250802
9,0.917,0.922,0.917,0.917,0.1363892578125,0.01393043510913849,1.590,0.9077332632735938
10,0.917,0.923,0.917,0.917,0.13888232421875002,0.015411481440067291,1.560,0.892222149229415
11,0.911,0.917,0.911,0.911,0.1442791015625,0.01520761223435402,1.551,0.9039064253095106
12,0.914,0.92,0.914,0.914,0.1409076171875,0.01524300001859665,1.539,0.8944424641208715
13,0.916,0.921,0.916,0.915,0.13789355468749998,0.012636943605542184,1.588,0.8975579165967879
14,0.914,0.92,0.914,0.914,0.14200058593749998,0.014108865544199944,1.584,0.8949788840647255
15,0.913,0.918,0.913,0.913,0.14169990234374996,0.015993132495880125,1.576,0.9000541589907717
16,0.921,0.926,0.921,0.92,0.13222412109375004,0.014428552150726318,1.576,0.9016796988126267
17,0.912,0.919,0.912,0.912,0.14440234375000005,0.019019288977980615,1.591,0.8992503042782748
18,0.914,0.92,0.914,0.913,0.14382558593749994,0.016366247004270553,1.646,0.8930226677531296
19,0.912,0.919,0.912,0.912,0.14366591796874995,0.016615929210186006,1.569,0.8981205671629242
20,0.914,0.919,0.914,0.914,0.14052587890625,0.014201259529590607,1.592,0.9018831102742862
21,0.914,0.92,0.914,0.914,0.14218457031249998,0.015511179909110068,1.598,0.893106966566587
22,0.916,0.923,0.916,0.916,0.13836992187499997,0.015151318264007568,1.634,0.8938919132100578
23,0.915,0.921,0.915,0.914,0.14028164062500004,0.012011283326148987,1.582,0.9028213150090314
24,0.918,0.923,0.918,0.918,0.13693564453124996,0.015304532983899116,1.694,0.898447579573835
25,0.916,0.922,0.916,0.916,0.1381482421875,0.014906293734908104,1.548,0.903927011852776
26,0.912,0.919,0.912,0.912,0.14624892578125004,0.01786293845176697,1.618,0.8947772129186602
27,0.916,0.922,0.916,0.916,0.14017021484375003,0.014430534306168556,1.604,0.8992047242419825
28,0.912,0.918,0.912,0.912,0.14336533203125001,0.01796206930875778,1.588,0.902980462519936
29,0.916,0.92,0.916,0.915,0.13949580078125,0.01614347830712795,1.594,0.9030745025700827
30,0.912,0.919,0.912,0.912,0.14402460937499995,0.017019148191809653,1.618,0.8971179724880383
