,accuracy,precision,recall_score,f1score,brierscore,expectedcalibrationerror,inferencetime,auroc
0,0.913,0.919,0.913,0.914,0.15965625000000006,0.06800560913085937,7.686,0.6401734301351548
1,0.913,0.918,0.913,0.913,0.16092177734375002,0.0693330201268196,8.391,0.6342398029111183
2,0.913,0.917,0.913,0.913,0.16140410156249996,0.06999523402452469,8.458,0.6327594663824583
3,0.911,0.915,0.911,0.911,0.1630076171875,0.06911457214355468,9.605,0.6337797479728803
4,0.913,0.918,0.913,0.913,0.16117001953125,0.0697346092224121,10.310,0.626479327265644
5,0.911,0.916,0.911,0.911,0.162504296875,0.0680745018005371,14.096,0.6425938669134454
6,0.912,0.916,0.912,0.912,0.1613052734375,0.06741527034044266,10.406,0.6400862165440864
7,0.911,0.917,0.911,0.911,0.16594921875000002,0.0717567512512207,9.775,0.6300190006736468
8,0.914,0.919,0.914,0.914,0.1557365234375,0.06395973445177078,12.394,0.6462223330523483
9,0.917,0.921,0.917,0.917,0.15105507812499996,0.06178346557617188,12.151,0.6496514331192694
10,0.912,0.919,0.912,0.913,0.1602814453125,0.06705744868516922,9.798,0.6436899821635548
11,0.91,0.915,0.91,0.91,0.16551962890625005,0.06977010841369628,10.871,0.6354789605571068
12,0.916,0.921,0.916,0.916,0.15540048828124997,0.06600350189208984,11.230,0.6344685793792276
13,0.919,0.924,0.919,0.919,0.14957978515625003,0.06394796600341797,10.130,0.6345087924340735
14,0.916,0.921,0.916,0.916,0.15848173828125,0.07017309123277664,10.952,0.6223554750827676
15,0.918,0.923,0.918,0.918,0.14971669921874997,0.06239014434814453,10.621,0.6447898400552634
16,0.914,0.92,0.914,0.914,0.15975625000000004,0.06919014434814454,10.445,0.6285125438908962
17,0.915,0.92,0.915,0.915,0.15863994140625004,0.06940350189208984,12.645,0.6244230151076824
18,0.915,0.919,0.915,0.915,0.15618251953124995,0.06527080622911453,10.414,0.6445965551800585
19,0.916,0.921,0.916,0.916,0.15357880859374995,0.06455007247924804,9.668,0.6459337858613897
20,0.915,0.921,0.915,0.915,0.15700878906250004,0.06646571502685547,10.879,0.635076518266518
21,0.914,0.918,0.914,0.914,0.16026474609374997,0.06919014434814454,11.106,0.6291168028799378
22,0.915,0.92,0.915,0.916,0.15703339843749997,0.06783530589342117,12.574,0.6308490236153529
23,0.914,0.919,0.914,0.915,0.15825957031250004,0.0677730919957161,10.108,0.6319234920401304
24,0.914,0.92,0.914,0.914,0.15877509765624997,0.06708416377305984,12.020,0.638342870289291
25,0.909,0.915,0.909,0.91,0.1662814453125,0.07005744868516922,10.055,0.6384290930487607
26,0.912,0.918,0.912,0.912,0.16241787109375005,0.0690035011291504,12.287,0.6305737473756776
27,0.916,0.921,0.916,0.916,0.15787138671875,0.06968416377305985,9.719,0.626776479840063
28,0.917,0.923,0.917,0.917,0.1541279296875,0.0662908410191536,11.974,0.6353715683313197
29,0.914,0.918,0.914,0.914,0.15868144531249995,0.06771457214355468,9.163,0.6344359065696402
30,0.912,0.917,0.912,0.912,0.16114931640624997,0.06789962779283523,10.258,0.6446189566988418
31,0.916,0.92,0.916,0.916,0.15522177734374998,0.06680560913085938,12.316,0.6401781979005324
32,0.913,0.919,0.913,0.913,0.15909169921875,0.06688117980957031,10.636,0.6427748879213421
33,0.913,0.917,0.913,0.913,0.15904189453124995,0.06611457252502441,11.594,0.6411806800730085
34,0.918,0.923,0.918,0.918,0.15303857421875,0.06625235900878906,11.183,0.6332221667329716
35,0.91,0.915,0.91,0.91,0.16442255859375,0.06855305644273758,10.054,0.6384405372405372
36,0.914,0.919,0.914,0.915,0.15569296875000005,0.06431000213623046,13.231,0.6546287438369269
37,0.916,0.921,0.916,0.916,0.15514531249999997,0.0662908410191536,11.230,0.6365393013100438
38,0.914,0.919,0.914,0.914,0.15777968750000004,0.06682564544677734,11.213,0.6400636117328308
39,0.915,0.921,0.915,0.915,0.15747285156250002,0.06704198390245437,13.433,0.633654875808572
40,0.912,0.919,0.912,0.912,0.16090039062499994,0.06720859156847,13.137,0.6413536682615629
41,0.916,0.922,0.916,0.916,0.15524091796874995,0.06642194834947586,12.411,0.6364301310043667
42,0.916,0.921,0.916,0.917,0.15337587890625004,0.06455973445177078,12.092,0.6412869476775148
43,0.918,0.924,0.918,0.919,0.1515130859375,0.06520560836791991,12.471,0.6426723061331328
44,0.917,0.921,0.917,0.917,0.15367031249999996,0.06607239532470703,12.861,0.6318193165245497
45,0.915,0.92,0.915,0.915,0.15838828125000004,0.06934637690782547,12.006,0.6294134079364032
46,0.915,0.92,0.915,0.915,0.15893476562499997,0.06945903701782226,12.775,0.62611648611975
47,0.911,0.916,0.911,0.911,0.16195527343750005,0.06732125091552735,12.044,0.6387191625339123
48,0.913,0.918,0.913,0.913,0.15929882812499996,0.06605744868516922,11.799,0.646560409542279
49,0.918,0.924,0.918,0.918,0.15205869140624995,0.06595464477539062,10.731,0.6280622926007565
50,0.914,0.92,0.914,0.914,0.15875556640625,0.06851457214355469,12.182,0.6312990081847245
51,0.918,0.923,0.918,0.918,0.15085546875,0.06424198466539383,12.619,0.6374827649930581
52,0.916,0.92,0.916,0.916,0.15466777343750004,0.06563530589342118,12.087,0.6370851528384279
53,0.915,0.919,0.915,0.915,0.15773984375000005,0.06740859156847,12.440,0.6371349807520059
54,0.917,0.922,0.917,0.918,0.15079794921875,0.06276641360521316,12.045,0.6448152505950335
55,0.916,0.92,0.916,0.916,0.1547634765625,0.06576641322374344,9.747,0.6369759825327511
56,0.912,0.917,0.912,0.912,0.16401455078125005,0.07148416377305984,11.030,0.6268431020733652
57,0.912,0.917,0.912,0.912,0.16551591796874998,0.07290789413452148,9.669,0.6226171874224425
58,0.918,0.924,0.918,0.918,0.15499150390625005,0.06998135833740235,10.709,0.6107295607063676
59,0.915,0.919,0.915,0.915,0.15628125000000004,0.06651457214355469,11.923,0.6365429970972424
60,0.908,0.913,0.908,0.908,0.16702744140625003,0.06863741389513016,12.920,0.6470676115686649
61,0.913,0.917,0.913,0.913,0.16105361328125,0.06922564392089844,12.781,0.6341466178192393
62,0.92,0.924,0.92,0.92,0.14971298828125001,0.06511755610704421,10.488,0.6310893336709233
63,0.911,0.916,0.911,0.911,0.16380888671875005,0.06986571502685547,10.875,0.6293809173528225
64,0.909,0.914,0.909,0.909,0.16944736328124999,0.07306782302856445,12.018,0.6317502917658686
65,0.914,0.92,0.914,0.914,0.15963740234375,0.06896641322374344,10.789,0.6296440384713247
66,0.916,0.922,0.916,0.916,0.15661328124999996,0.06865534144639969,12.217,0.6241039699620566
67,0.918,0.923,0.918,0.919,0.15095625000000001,0.06479014434814453,11.852,0.6362258317961331
68,0.915,0.92,0.915,0.915,0.15777080078125005,0.06821017990112305,11.971,0.6273224043715847
69,0.915,0.919,0.915,0.915,0.15456298828125004,0.06310789413452149,10.262,0.649237377930025
70,0.913,0.918,0.913,0.913,0.16089384765625003,0.06830789489746093,11.914,0.6354825978131734
71,0.91,0.916,0.91,0.91,0.16678857421875004,0.0711634292602539,13.470,0.6323853332399343
72,0.914,0.919,0.914,0.914,0.15836689453124997,0.06722194911241532,12.556,0.6367286652078775
73,0.912,0.917,0.912,0.912,0.16181064453125005,0.06817010879516601,10.732,0.6376328699206524
74,0.917,0.921,0.917,0.917,0.15336787109375005,0.06530789413452148,10.836,0.6391189253591086
75,0.916,0.921,0.916,0.916,0.15429443359374995,0.06518346557617187,9.534,0.6393896860054066
76,0.913,0.917,0.913,0.913,0.15724931640624995,0.06470121536254883,13.571,0.6466535457956997
77,0.913,0.918,0.913,0.913,0.158678125,0.0666019135594368,11.855,0.6422793602665169
78,0.913,0.918,0.913,0.913,0.15745966796875,0.06457977076768875,11.098,0.6428460409639674
79,0.919,0.923,0.919,0.919,0.14840126953125,0.06267907333374023,12.325,0.6388055907418418
80,0.913,0.919,0.913,0.913,0.15911611328124997,0.06691457214355469,10.756,0.6381095696300647
81,0.916,0.922,0.916,0.916,0.15493144531250003,0.06634637690782547,9.467,0.6376566277959341
82,0.91,0.915,0.91,0.91,0.16366250000000004,0.06757010879516602,9.460,0.6419169719169718
83,0.917,0.922,0.917,0.917,0.15447519531249998,0.06647907257080078,12.511,0.6301394843104351
84,0.915,0.919,0.915,0.915,0.15708134765625004,0.06691457214355469,11.724,0.6358340980147025
85,0.915,0.92,0.915,0.915,0.15784990234374996,0.06755973445177078,11.675,0.6341695554448239
86,0.914,0.919,0.914,0.914,0.16067470703124997,0.07073969813585282,12.832,0.6273930255553533
87,0.911,0.916,0.911,0.911,0.16272275390625002,0.06802564392089844,11.066,0.6406504766955685
88,0.915,0.92,0.915,0.915,0.15619208984375,0.06674128723144532,10.564,0.6317544656161886
89,0.913,0.919,0.913,0.913,0.16204951171875004,0.06989453735351563,9.834,0.6323176520324909
90,0.913,0.918,0.913,0.914,0.16006757812500005,0.06857010879516602,10.068,0.6341208721468554
91,0.915,0.92,0.915,0.915,0.15568242187500003,0.06493302088975907,10.635,0.6460346395528102
92,0.916,0.921,0.916,0.916,0.15223828125000005,0.06305903701782227,13.534,0.6444768273606519
93,0.915,0.921,0.915,0.916,0.15500693359374995,0.06470419818162917,12.296,0.6409213575339754
94,0.912,0.916,0.912,0.912,0.16094785156250002,0.06733460845947266,11.573,0.6357755183413077
95,0.916,0.922,0.916,0.916,0.15620068359374994,0.06773969889879226,10.541,0.634366552297775
96,0.919,0.922,0.919,0.919,0.14706474609374998,0.05979682273864746,12.805,0.6516336418361239
97,0.92,0.924,0.92,0.92,0.14700039062500003,0.06180350189208984,10.457,0.6422194676387961
98,0.911,0.916,0.911,0.911,0.16593271484375005,0.07243232269287109,12.765,0.626179405271402
99,0.911,0.917,0.911,0.911,0.163203125,0.06938346633911133,12.892,0.6326510798013226
