,accuracy,precision,recall_score,f1score,brierscore,expectedcalibrationerror,inferencetime,auroc
0,0.97,0.97,0.97,0.97,0.16889477539062503,0.16593309563398362,0.806,0
1,0.968,0.968,0.968,0.968,0.16773906250000004,0.16444889866113663,0.493,0
2,0.97,0.971,0.97,0.97,0.16528417968749998,0.1645421671152115,0.460,0
3,0.971,0.972,0.971,0.971,0.16482973632812503,0.1655324513554573,0.492,0
4,0.971,0.972,0.971,0.971,0.16253374023437495,0.1672937918663025,0.628,0
5,0.97,0.97,0.97,0.97,0.16526254882812497,0.16579734563827514,0.495,0
6,0.97,0.97,0.97,0.97,0.16185434570312496,0.1654653113245964,0.504,0
7,0.97,0.971,0.97,0.971,0.16675141601562504,0.1655650300860405,0.533,0
8,0.97,0.97,0.97,0.97,0.17049052734375003,0.16634657921791077,0.488,0
9,0.968,0.969,0.968,0.968,0.16944736328124999,0.1636035786628723,0.489,0
10,0.97,0.97,0.97,0.97,0.16654687499999998,0.1662601644515991,0.541,0
11,0.97,0.971,0.97,0.97,0.16422954101562504,0.16465582206249238,0.499,0
12,0.972,0.972,0.972,0.972,0.16269443359375002,0.16526664021015167,0.489,0
13,0.969,0.97,0.969,0.97,0.16522597656250004,0.16480634806156158,0.673,0
14,0.969,0.969,0.969,0.969,0.16700117187499997,0.16399798369407653,0.496,0
15,0.969,0.97,0.969,0.969,0.16490849609375002,0.16551148207187652,0.503,0
16,0.972,0.973,0.972,0.972,0.16271416015624995,0.16904610735177994,0.493,0
17,0.971,0.971,0.971,0.971,0.164169091796875,0.16641704117059708,0.514,0
18,0.972,0.972,0.972,0.972,0.16244536132812504,0.1668369933605194,0.522,0
19,0.972,0.972,0.972,0.972,0.16550600585937503,0.16718112382888795,0.497,0
20,0.97,0.97,0.97,0.97,0.16524760742187505,0.16416983357667922,0.494,0
21,0.969,0.97,0.969,0.969,0.159778125,0.16513695298433304,0.530,0
22,0.97,0.971,0.97,0.971,0.16262001953125005,0.16476305307149888,0.490,0
23,0.973,0.973,0.973,0.973,0.16898188476562503,0.16506058846712113,0.409,0
24,0.971,0.972,0.971,0.971,0.16091845703124996,0.16556720031499864,0.614,0
25,0.969,0.97,0.969,0.97,0.1639099609375,0.16501442540884018,0.524,0
26,0.971,0.971,0.971,0.971,0.16115283203124997,0.1663795499444008,0.489,0
