,accuracy,precision,recall_score,f1score,brierscore,expectedcalibrationerror,inferencetime,auroc
0,0.97,0.971,0.97,0.97,0.16486552734375004,0.16542563234567642,0.974,0
1,0.97,0.971,0.97,0.97,0.16570668945312494,0.16657880734801292,1.248,0
2,0.971,0.972,0.971,0.971,0.16310185546875,0.1660037558376789,2.074,0
3,0.967,0.968,0.967,0.967,0.16794599609375005,0.16552253369688988,2.241,0
4,0.969,0.969,0.969,0.969,0.16843066406249996,0.16373756608366966,1.373,0
5,0.97,0.97,0.97,0.97,0.166162939453125,0.1650388690173626,1.391,0
6,0.968,0.969,0.968,0.968,0.16926123046874997,0.16581785647273065,1.187,0
7,0.97,0.97,0.97,0.97,0.16698818359375,0.1638569229245186,1.421,0
8,0.969,0.97,0.969,0.969,0.16483774414062502,0.16524140281677246,1.541,0
9,0.971,0.971,0.971,0.971,0.16392109374999997,0.1672970255613327,1.287,0
10,0.972,0.972,0.972,0.972,0.15943100585937497,0.1654851696908474,1.080,0
11,0.97,0.97,0.97,0.97,0.161743115234375,0.16505182710886002,1.677,0
12,0.968,0.969,0.968,0.969,0.16914584960937495,0.16499954090118407,1.329,0
13,0.969,0.969,0.969,0.969,0.16392622070312501,0.1631212098002434,1.008,0
14,0.97,0.97,0.97,0.97,0.16899091796875,0.16577366393208504,0.863,0
15,0.971,0.972,0.971,0.971,0.15958593750000005,0.16686182461977006,1.311,0
16,0.97,0.97,0.97,0.97,0.16608940429687502,0.16532833341360093,1.587,0
17,0.972,0.973,0.972,0.972,0.16217714843749997,0.1655035754442215,0.863,0
18,0.969,0.97,0.969,0.969,0.17253544921874997,0.16503552168607713,0.941,0
19,0.968,0.969,0.968,0.969,0.16775981445312504,0.16596564557552337,1.752,0
20,0.969,0.97,0.969,0.969,0.16879560546875005,0.16338255731463433,1.647,0
21,0.971,0.971,0.971,0.971,0.16549443359375005,0.16496130599379538,0.754,0
22,0.972,0.972,0.972,0.972,0.16316748046874996,0.16742101893424988,1.599,0
23,0.971,0.972,0.971,0.971,0.15921728515625,0.16842081790566443,1.163,0
24,0.968,0.968,0.968,0.968,0.16656904296874997,0.16238395348787307,0.868,0
25,0.971,0.971,0.971,0.971,0.16536782226562496,0.1666093351840973,2.056,0
26,0.969,0.969,0.969,0.969,0.16483320312500005,0.16466683871746063,1.794,0
27,0.967,0.967,0.967,0.967,0.165634423828125,0.16342776740789414,1.173,0
28,0.972,0.972,0.972,0.972,0.161952783203125,0.16535475981235503,1.334,0
29,0.97,0.971,0.97,0.971,0.159139453125,0.16635286728143692,0.974,0
30,0.968,0.969,0.968,0.969,0.163784326171875,0.1627180251121521,1.728,0
31,0.971,0.972,0.971,0.971,0.16330053710937498,0.16559740648269652,2.212,0
32,0.971,0.971,0.971,0.971,0.16452353515624996,0.1661509211063385,1.084,0
33,0.969,0.969,0.969,0.969,0.16091279296875005,0.16740961899757384,2.031,0
34,0.973,0.974,0.973,0.973,0.16706401367187496,0.16683519456386567,2.179,0
35,0.969,0.97,0.969,0.969,0.16383095703124995,0.16410038061738014,0.807,0
