,accuracy,precision,recall_score,f1score,brierscore,expectedcalibrationerror,inferencetime,auroc
0,0.823,0.823,0.823,0.823,0.4198787353515625,0.3665645393371582,18.138,0.970513363169235
1,0.825,0.826,0.825,0.825,0.42117197265624995,0.37319713306427,1.599,0.9728399968020671
2,0.831,0.831,0.831,0.831,0.4135195556640625,0.3723927179336548,2.175,0.9735735723022059
3,0.83,0.83,0.83,0.83,0.41790346679687496,0.3746449953079224,1.782,0.9723237033999101
4,0.824,0.824,0.824,0.824,0.4206359130859375,0.36958069648742675,2.091,0.9713143787228024
5,0.829,0.829,0.829,0.828,0.41933005371093746,0.37232575578689575,1.996,0.970912071042426
6,0.825,0.825,0.825,0.825,0.42146079101562495,0.3707362115859985,2.224,0.9707171459654441
7,0.83,0.831,0.83,0.83,0.41654697265624996,0.37281035327911377,2.330,0.9719899778418848
8,0.832,0.832,0.832,0.832,0.41667775878906255,0.37610312309265137,2.081,0.9731933566366283
9,0.829,0.829,0.829,0.829,0.41780478515624997,0.3737594783782959,2.629,0.9727503365539372
10,0.824,0.824,0.824,0.824,0.419798388671875,0.36802444877624513,2.241,0.9711226448797856
11,0.828,0.828,0.828,0.827,0.41549086914062505,0.3689968938827515,1.767,0.9716522120259677
12,0.825,0.825,0.825,0.825,0.4202828125,0.36997057056427,2.163,0.9717472826485073
13,0.823,0.823,0.823,0.823,0.41780537109375004,0.36613244190216065,2.218,0.9711628864992857
14,0.834,0.833,0.834,0.833,0.418923291015625,0.3799883945465088,2.222,0.9730919028242407
15,0.837,0.837,0.837,0.837,0.4111019775390625,0.37826542768478394,2.123,0.9742760079001389
16,0.827,0.828,0.827,0.827,0.4182146484375,0.37210154495239256,1.452,0.9729866579772868
17,0.823,0.822,0.823,0.822,0.42428376464843753,0.3693572534561157,2.107,0.9701966228799165
18,0.83,0.829,0.83,0.829,0.415623828125,0.37327720069885256,1.493,0.9729866910645122
19,0.831,0.831,0.831,0.831,0.41588552246093746,0.3726319206237793,1.389,0.971669443269047
20,0.83,0.83,0.83,0.83,0.417202734375,0.3746287094116211,2.100,0.9732535437182541
21,0.824,0.824,0.824,0.824,0.4258694580078125,0.37301922931671144,2.093,0.9705747136404712
22,0.824,0.824,0.824,0.823,0.4214936279296875,0.36959256172180177,1.880,0.9717798779996534
