,accuracy,precision,recall_score,f1score,brierscore,expectedcalibrationerror,inferencetime,auroc
0,0.82,0.821,0.82,0.821,0.4232755126953125,0.3657228924751282,2.354,0.9696432669295728
1,0.828,0.828,0.828,0.828,0.41240634765624995,0.36738296985626223,1.479,0.972346611051415
2,0.824,0.825,0.824,0.824,0.42435913085937504,0.3717628366470337,1.562,0.9705832949243899
3,0.834,0.835,0.834,0.834,0.4158685791015625,0.3794595190048218,1.335,0.974077574549724
4,0.824,0.825,0.824,0.823,0.4210681396484375,0.3702965928077698,1.713,0.9719910636771791
5,0.831,0.831,0.831,0.83,0.418873583984375,0.3746750722885132,1.407,0.9711246137454699
6,0.828,0.828,0.828,0.828,0.42069357910156246,0.37380473098754885,1.744,0.9709839398065017
7,0.823,0.823,0.823,0.823,0.42199138183593754,0.3689185682296753,1.753,0.9708045774639237
8,0.827,0.828,0.827,0.827,0.421175830078125,0.371984944152832,1.473,0.9702533395781268
9,0.829,0.829,0.829,0.829,0.42132983398437496,0.3740051420211792,1.419,0.9707862328224663
10,0.826,0.826,0.826,0.825,0.41912104492187496,0.36860026950836183,1.467,0.9707296477871719
11,0.821,0.821,0.821,0.82,0.4246425048828125,0.3677747372627258,1.532,0.9694950477589718
12,0.827,0.828,0.827,0.827,0.42299895019531253,0.3749789821624756,1.797,0.9721600104254744
13,0.826,0.828,0.826,0.826,0.42192646484374996,0.37208032932281493,1.659,0.9699488617280132
14,0.83,0.83,0.83,0.83,0.41632006835937496,0.3745160231590271,1.754,0.9732939356996482
15,0.831,0.832,0.831,0.831,0.4188295654296875,0.3752936918258667,1.380,0.9713720481082145
16,0.833,0.834,0.833,0.833,0.41355092773437496,0.3766067565917969,1.740,0.9742540369546135
17,0.825,0.828,0.825,0.826,0.4238392578125,0.37415788555145263,1.716,0.9711261991225444
18,0.823,0.823,0.823,0.822,0.42682062988281255,0.3719428667068481,1.542,0.9702403815435959
19,0.818,0.819,0.818,0.818,0.42918222656250005,0.3697051549911499,1.758,0.9702216268471199
20,0.822,0.824,0.822,0.823,0.425291650390625,0.37224753293991086,1.636,0.9708027664339672
21,0.823,0.824,0.823,0.823,0.4247672119140625,0.3698318092346191,1.574,0.9700791832135989
22,0.835,0.835,0.835,0.835,0.41464807128906245,0.37752886657714846,1.647,0.9730983223637024
23,0.829,0.83,0.829,0.829,0.4203558837890625,0.3745593364715576,1.653,0.9716555721200184
24,0.832,0.834,0.832,0.833,0.414729541015625,0.375156196308136,1.689,0.9735268753150569
25,0.829,0.83,0.829,0.829,0.4168610107421875,0.37192807788848875,1.458,0.9718193291715377
26,0.826,0.826,0.826,0.826,0.425583642578125,0.3734939598083496,1.673,0.9699556414192282
27,0.825,0.826,0.825,0.825,0.42209841308593754,0.3725780450820923,1.620,0.9713691257937299
28,0.823,0.824,0.823,0.823,0.4227894775390625,0.3706695869445801,1.630,0.971256852981058
29,0.826,0.828,0.826,0.826,0.421089892578125,0.37163074054718015,1.722,0.9710631840680455
30,0.829,0.83,0.829,0.829,0.42297065429687497,0.375866379070282,1.632,0.9704878900382582
31,0.823,0.824,0.823,0.823,0.42388779296875,0.36969525718688967,1.389,0.9696313305521718
32,0.83,0.831,0.83,0.83,0.4185621826171875,0.3735098123550415,1.803,0.971651039660854
33,0.826,0.826,0.826,0.826,0.419803759765625,0.372258717918396,1.385,0.9727544428838166
34,0.829,0.829,0.829,0.829,0.42104990234374995,0.375715295791626,1.622,0.9715884992532748
35,0.825,0.826,0.825,0.825,0.42550107421875005,0.3743052206039429,1.709,0.9703199885956373
36,0.825,0.826,0.825,0.825,0.42158374023437495,0.37283565196990964,1.587,0.9724477828659246
37,0.828,0.829,0.828,0.828,0.420270849609375,0.37201005306243895,1.783,0.9708706290547363
38,0.825,0.826,0.825,0.825,0.41902514648437506,0.3687321159362793,1.772,0.9703869091710521
39,0.834,0.834,0.834,0.833,0.417760986328125,0.37724856033325194,1.481,0.9708902991189248
40,0.828,0.829,0.828,0.828,0.41902897949218754,0.3720653191566467,1.668,0.971493396255217
41,0.821,0.823,0.821,0.821,0.42066152343749996,0.36572795181274415,1.667,0.970810886377938
42,0.821,0.822,0.821,0.821,0.42635056152343753,0.37094086723327635,2.022,0.9701970301428886
43,0.829,0.83,0.829,0.829,0.42043159179687495,0.3760806045532227,1.411,0.9724441127913132
44,0.827,0.828,0.827,0.827,0.42156528320312503,0.3735546226501465,1.957,0.9704744134400031
45,0.829,0.83,0.829,0.829,0.42169042968750003,0.37541229887008665,1.553,0.9712006710453658
46,0.831,0.832,0.831,0.831,0.41895175781250005,0.3751013468742371,1.496,0.9712640989371788
47,0.833,0.833,0.833,0.833,0.41732822265625,0.3775031135559082,1.384,0.972683436515115
48,0.823,0.824,0.823,0.823,0.42430590820312497,0.370807205581665,1.490,0.9706392054155621
49,0.832,0.834,0.832,0.832,0.41559599609375,0.37562374172210694,1.486,0.9724084212207721
50,0.821,0.821,0.821,0.821,0.42129655761718754,0.36635441246032713,1.443,0.9712761579207898
51,0.824,0.825,0.824,0.824,0.42127570800781255,0.36901799507141114,1.779,0.9708026105954888
52,0.826,0.827,0.826,0.826,0.4205626953125,0.3722350130081177,1.642,0.971937927988068
53,0.821,0.822,0.821,0.821,0.4231831298828125,0.3673928619384766,1.771,0.9704454069900332
54,0.828,0.828,0.828,0.828,0.41820017089843753,0.37245942144393923,1.890,0.9717487543972052
55,0.822,0.824,0.822,0.822,0.42663928222656256,0.3711622457504272,1.779,0.970222140332184
56,0.833,0.834,0.833,0.833,0.41545217285156255,0.37443558168411256,1.732,0.9714214499908638
57,0.829,0.83,0.829,0.829,0.415276025390625,0.37175780658721924,1.285,0.9724210345994028
58,0.826,0.828,0.826,0.827,0.42176357421875,0.37306821365356446,1.311,0.9712014731649499
59,0.827,0.828,0.827,0.827,0.42284885253906246,0.37356289348602295,1.801,0.9710015454752592
60,0.826,0.826,0.826,0.826,0.42109819335937504,0.3731598829269409,1.461,0.9719678482072298
61,0.83,0.83,0.83,0.83,0.418497314453125,0.3750930479049683,1.728,0.9716432462120794
62,0.831,0.831,0.831,0.83,0.418056787109375,0.3749202705383301,1.812,0.9719726838637793
63,0.819,0.819,0.819,0.819,0.42828630371093745,0.3672271060943604,1.744,0.9682291740254042
64,0.817,0.818,0.817,0.817,0.42939536132812495,0.367680672454834,1.301,0.9696766295158227
65,0.827,0.828,0.827,0.827,0.419851513671875,0.3726582624435425,1.792,0.9719631763101024
66,0.828,0.827,0.828,0.827,0.419218994140625,0.37267664794921873,1.534,0.9721438223518586
67,0.83,0.832,0.83,0.83,0.4219663330078125,0.37630014667510986,1.774,0.9711018861479627
68,0.826,0.827,0.826,0.826,0.4226984130859375,0.37209504547119143,1.694,0.9707195845997003
69,0.821,0.822,0.821,0.821,0.42382265625000004,0.3687251187324524,1.522,0.9712066758128308
70,0.82,0.821,0.82,0.82,0.4233914794921875,0.365839879322052,1.355,0.9702036309135804
71,0.821,0.822,0.821,0.821,0.42838574218750003,0.3682158038139343,1.483,0.9678676105884712
72,0.82,0.82,0.82,0.82,0.42489973144531246,0.36698732023239133,1.488,0.9697512500242382
73,0.825,0.827,0.825,0.825,0.4246478271484375,0.373035468006134,1.333,0.9700801729821714
74,0.826,0.828,0.826,0.827,0.4202572265625,0.37211950397491456,1.403,0.9717762010608444
75,0.832,0.833,0.832,0.832,0.4161771484375,0.3759314024925232,1.317,0.9730855517328468
76,0.822,0.823,0.822,0.822,0.42196875,0.36839197187423706,1.484,0.9708678025749953
77,0.828,0.828,0.828,0.828,0.41841376953125,0.3737817905426025,1.401,0.9723959556162646
78,0.828,0.829,0.828,0.828,0.41551376953124997,0.370081861114502,1.716,0.972177773572426
79,0.826,0.827,0.826,0.826,0.41870388183593754,0.37105112419128417,1.734,0.9721320757653537
80,0.828,0.829,0.828,0.828,0.4181517578125,0.3732746433258057,1.868,0.9726196279798929
81,0.82,0.821,0.82,0.82,0.4207280029296875,0.3645322904586792,1.675,0.9709252439784152
82,0.827,0.828,0.827,0.827,0.4182161865234375,0.37226570377349855,1.419,0.9724580243282037
83,0.832,0.833,0.832,0.832,0.4198319091796875,0.37857847213745116,1.589,0.9727356940774563
84,0.829,0.83,0.829,0.829,0.42101259765625,0.3741161036491394,1.747,0.9713565133310041
85,0.829,0.83,0.829,0.829,0.41783610839843754,0.37296918258666995,1.400,0.9721467113748077
86,0.829,0.829,0.829,0.829,0.41870920410156254,0.3725109199523926,1.697,0.9715441727664503
87,0.831,0.832,0.831,0.831,0.42004870605468747,0.3770945064544678,1.473,0.9714149317517622
88,0.828,0.828,0.828,0.828,0.41804748535156255,0.37281271057128906,1.536,0.9725516687985989
89,0.834,0.836,0.834,0.834,0.41311611328125,0.37513397197723386,1.627,0.972511747555642
90,0.829,0.83,0.829,0.829,0.41774365234375,0.3743226486206055,1.801,0.972428070691629
91,0.817,0.817,0.817,0.816,0.42784165039062505,0.36405263595581056,1.680,0.9681504782620051
92,0.831,0.832,0.831,0.831,0.41704028320312503,0.37309779205322263,1.369,0.971129878794035
93,0.828,0.829,0.828,0.828,0.41652126464843753,0.37009843578338625,1.859,0.9720703484831074
94,0.829,0.831,0.829,0.829,0.416978466796875,0.37275408630371093,1.610,0.9725682376393161
95,0.829,0.83,0.829,0.829,0.41796433105468755,0.37282649002075197,1.812,0.9714212544364832
96,0.825,0.826,0.825,0.825,0.41951726074218754,0.36892164649963377,1.546,0.9710564878407449
97,0.83,0.831,0.83,0.83,0.41538679199218753,0.3758907364845276,1.415,0.9743001270703662
98,0.826,0.828,0.826,0.827,0.42151667480468746,0.371534435749054,1.637,0.9710120912110511
99,0.826,0.826,0.826,0.826,0.41773474121093745,0.3707802993774414,1.655,0.9724576389295461
