,accuracy,precision,recall_score,f1score,brierscore,expectedcalibrationerror,inferencetime,auroc
0,0.971,0.972,0.971,0.971,0.10094487304687505,0.18435289320945739,0.584,0
1,0.973,0.973,0.973,0.973,0.10062319335937497,0.18406285243034362,0.737,0
2,0.973,0.973,0.973,0.973,0.09891606445312495,0.1847260666370392,0.506,0
3,0.971,0.972,0.971,0.971,0.10258212890624996,0.18552558455467225,0.503,0
4,0.975,0.975,0.975,0.975,0.09981665039062504,0.18728641728162765,0.402,0
5,0.973,0.973,0.973,0.973,0.10446328125000004,0.18598825777769087,0.472,0
6,0.97,0.97,0.97,0.97,0.10133217773437497,0.18190832957029343,0.490,0
7,0.972,0.973,0.972,0.972,0.10243359375000005,0.18574773882627488,0.519,0
8,0.969,0.97,0.969,0.969,0.10432231445312501,0.181517418050766,0.386,0
9,0.97,0.971,0.97,0.97,0.10490200195312505,0.18550235571861268,0.498,0
10,0.973,0.973,0.973,0.973,0.09742622070312501,0.18395413241386413,0.482,0
11,0.972,0.972,0.972,0.972,0.102833154296875,0.18309004019498826,0.487,0
12,0.975,0.975,0.975,0.975,0.10138994140625002,0.18938591057062149,0.486,0
13,0.971,0.971,0.971,0.971,0.10198657226562502,0.184694378054142,0.349,0
14,0.972,0.972,0.972,0.972,0.10391210937499995,0.18688969143629075,0.456,0
15,0.974,0.975,0.974,0.974,0.10232827148437496,0.18909563212394714,0.344,0
16,0.973,0.973,0.973,0.973,0.10402124023437498,0.18466825671195983,0.477,0
17,0.976,0.976,0.976,0.976,0.09845317382812502,0.1863816427230835,0.568,0
18,0.974,0.974,0.974,0.974,0.10121772460937495,0.18551039462089539,0.522,0
19,0.968,0.969,0.968,0.968,0.10676215820312496,0.1861173505783081,0.496,0
20,0.974,0.975,0.974,0.974,0.10185166015625002,0.18604320101737976,0.504,0
21,0.974,0.975,0.974,0.974,0.09910654296874999,0.1857092943072319,0.514,0
22,0.97,0.971,0.97,0.97,0.10507363281250004,0.1852306093811989,0.446,0
23,0.971,0.971,0.971,0.971,0.10304936523437502,0.18546935648918153,0.570,0
24,0.975,0.976,0.975,0.975,0.09700366210937506,0.18673515214920045,0.495,0
25,0.974,0.974,0.974,0.974,0.10186645507812497,0.1861693751811981,0.487,0
26,0.968,0.969,0.968,0.968,0.10404355468750004,0.18369264448881148,0.514,0
27,0.974,0.974,0.974,0.974,0.09990253906250002,0.18511853294372557,0.519,0
28,0.972,0.973,0.972,0.972,0.10300234374999995,0.18661984878778456,0.491,0
29,0.972,0.972,0.972,0.972,0.10261362304687505,0.18493802013397218,0.492,0
30,0.971,0.972,0.971,0.971,0.10251289062500002,0.18300036247968673,0.355,0
31,0.974,0.975,0.974,0.974,0.09882041015624998,0.1891909476876259,0.513,0
32,0.973,0.973,0.973,0.973,0.102280322265625,0.18532521376609803,0.483,0
33,0.972,0.973,0.972,0.972,0.10190751953124999,0.18481559845209122,0.523,0
34,0.971,0.971,0.971,0.971,0.10485087890625,0.18315162348747255,0.485,0
35,0.972,0.973,0.972,0.972,0.10156816406250002,0.1835016631603241,0.535,0
36,0.975,0.975,0.975,0.975,0.09907402343750005,0.1865387647151947,0.489,0
37,0.972,0.973,0.972,0.972,0.101741650390625,0.18508853825330734,0.483,0
38,0.972,0.972,0.972,0.972,0.10183681640624997,0.18698865585327148,0.582,0
39,0.974,0.974,0.974,0.974,0.10107436523437496,0.18898071279525758,0.483,0
40,0.972,0.972,0.972,0.972,0.10377568359375,0.1876827506661415,0.485,0
41,0.975,0.975,0.975,0.975,0.09935234375000002,0.18758174723386764,0.483,0
42,0.974,0.974,0.974,0.974,0.10027700195312494,0.18872515931129455,0.516,0
43,0.972,0.973,0.972,0.972,0.10212812500000001,0.18848636280298234,0.401,0
44,0.969,0.97,0.969,0.969,0.10496870117187496,0.18564490394592284,0.489,0
45,0.974,0.974,0.974,0.974,0.10287666015624997,0.18639125343561172,0.564,0
46,0.973,0.973,0.973,0.973,0.10129741210937504,0.18635700768232347,0.386,0
47,0.973,0.973,0.973,0.973,0.10314428710937495,0.1859411790728569,0.483,0
48,0.975,0.975,0.975,0.975,0.09807197265625,0.18558227766752244,0.498,0
49,0.973,0.973,0.973,0.973,0.10155732421874997,0.18574572558403016,0.473,0
50,0.97,0.971,0.97,0.97,0.10295820312500004,0.18647194308042525,0.484,0
