,accuracy,precision,recall_score,f1score,brierscore,expectedcalibrationerror,inferencetime,auroc
0,0.973,0.973,0.973,0.973,0.10289799804687505,0.18568935146331786,0.921,0.9981678145238991
1,0.97,0.971,0.97,0.97,0.10431015624999995,0.18399952812194825,1.159,0.9980264998071122
2,0.971,0.971,0.971,0.971,0.10601049804687501,0.18641023823022843,0.998,0.997926907827104
3,0.972,0.972,0.972,0.972,0.103629736328125,0.1861369787812233,1.329,0.9980887469639909
4,0.973,0.973,0.973,0.973,0.10459277343749995,0.1846614494562149,1.262,0.9979233901032896
5,0.972,0.973,0.972,0.972,0.10409804687500002,0.1898193678498268,1.294,0.9981735244981772
6,0.973,0.973,0.973,0.973,0.10028964843749999,0.18606492865085603,0.944,0.9982705937412838
7,0.972,0.972,0.972,0.972,0.10211303710937503,0.18677979354858398,1.166,0.998229036103527
8,0.968,0.968,0.968,0.968,0.10525312499999995,0.18328499857187272,0.872,0.9980010411722521
9,0.972,0.972,0.972,0.972,0.10221689453125005,0.18571790910959243,0.939,0.99823630441523
10,0.973,0.973,0.973,0.973,0.10252158203124995,0.1851357334136963,0.809,0.9981216161823954
11,0.972,0.972,0.972,0.972,0.10170966796875003,0.18463982849121094,0.864,0.9982172092952869
12,0.972,0.973,0.972,0.972,0.10061582031250005,0.18409465487003326,0.852,0.9982739567084742
13,0.972,0.972,0.972,0.972,0.10269233398437505,0.18557658106088637,0.732,0.9982268856892578
14,0.971,0.972,0.971,0.971,0.10404658203124995,0.18560711500644683,0.839,0.9980839177207965
15,0.971,0.972,0.971,0.971,0.1026796875,0.1847714068055153,1.050,0.9980953958554558
16,0.973,0.973,0.973,0.973,0.10133403320312495,0.18912010761499404,1.131,0.9982846882375584
17,0.972,0.972,0.972,0.972,0.10217465820312499,0.18539571396112442,0.905,0.9979766070769616
18,0.971,0.972,0.971,0.971,0.10069697265625,0.18418362159729004,1.359,0.9981101904609467
19,0.971,0.972,0.971,0.971,0.10461655273437498,0.18519121782779693,1.552,0.9979837316572597
20,0.972,0.973,0.972,0.972,0.10271655273437497,0.1863536125421524,1.796,0.9981794702271278
21,0.97,0.97,0.97,0.97,0.10427187500000001,0.18369887186288833,0.695,0.9980155108312049
22,0.972,0.973,0.972,0.972,0.09854394531249999,0.18358381690979003,1.272,0.9983757336429848
23,0.974,0.974,0.974,0.974,0.10232983398437501,0.18680428791046141,0.786,0.9980797952332603
24,0.972,0.973,0.972,0.972,0.10575219726562501,0.18820029964447021,0.648,0.99789623583794
25,0.97,0.971,0.97,0.97,0.10150927734375004,0.18426123411655426,0.822,0.9981183573113597
26,0.968,0.969,0.968,0.968,0.10678750000000004,0.18663708097934723,1.484,0.9979879328092423
27,0.975,0.975,0.975,0.975,0.09960424804687495,0.18663563063144684,1.484,0.9984356328107038
28,0.97,0.971,0.97,0.97,0.10015043945312496,0.18188612234592438,1.364,0.9981075197396254
29,0.972,0.973,0.972,0.972,0.10075302734375002,0.1848691009759903,0.971,0.998323350453129
30,0.973,0.973,0.973,0.973,0.09812919921874996,0.18667259231805802,0.794,0.9984017201808401
31,0.975,0.975,0.975,0.975,0.09853749999999994,0.18688826347589493,0.763,0.9985416915291679
32,0.973,0.974,0.973,0.973,0.10355664062500003,0.187927779006958,0.877,0.9981724225553806
33,0.97,0.97,0.97,0.97,0.10552377929687495,0.18635265543460847,0.892,0.9979438349582661
34,0.971,0.971,0.971,0.971,0.10570532226562501,0.182004778444767,0.896,0.9978472463232709
35,0.974,0.974,0.974,0.974,0.10106752929687501,0.18593923246860505,1.345,0.998254597966373
36,0.971,0.971,0.971,0.971,0.10219287109374997,0.18683462409973145,1.227,0.9982794632771327
37,0.972,0.972,0.972,0.972,0.10263242187499999,0.18485673471689223,1.175,0.9981372821204287
38,0.971,0.972,0.971,0.971,0.10125117187499999,0.18484891525506975,1.369,0.9982017614934625
39,0.972,0.972,0.972,0.972,0.10278369140624999,0.185263065969944,1.031,0.9981933374356527
40,0.972,0.972,0.972,0.972,0.10300585937499995,0.1874651586174965,0.768,0.9982654750256632
41,0.97,0.97,0.97,0.97,0.10566494140625005,0.18488601801395416,0.975,0.9979419790277572
