,accuracy,precision,recall_score,f1score,brierscore,expectedcalibrationerror,inferencetime,auroc
0,0.81,0.81,0.81,0.81,0.45220356445312504,0.38308578395843507,15.272,0.9669119648564658
1,0.823,0.824,0.823,0.823,0.44920051269531247,0.39502740144729614,2.071,0.9683010931386031
2,0.818,0.818,0.818,0.817,0.44682802734375004,0.38780473594665527,2.054,0.9683399779682029
3,0.812,0.812,0.812,0.812,0.451906005859375,0.3847310101747513,2.026,0.9664077092908563
4,0.817,0.817,0.817,0.816,0.44903417968750003,0.3888356732845306,1.445,0.9682841185428901
5,0.819,0.82,0.819,0.819,0.44729172363281255,0.390232918548584,2.065,0.9684656870713827
6,0.813,0.812,0.813,0.812,0.4525325927734375,0.386442524433136,2.060,0.9675670866981912
7,0.809,0.808,0.809,0.808,0.45118305664062497,0.3814107134819031,2.034,0.9676936230697182
8,0.813,0.813,0.813,0.813,0.4542433837890625,0.3865745545387268,1.428,0.9658274649598262
9,0.818,0.817,0.818,0.817,0.44939484863281254,0.39074378385543823,2.101,0.9688675311676395
10,0.814,0.813,0.814,0.813,0.45576962890624995,0.3893497001647949,2.176,0.966341590527928
11,0.814,0.815,0.814,0.814,0.4524649169921875,0.38715011682510375,1.959,0.966707538935428
12,0.819,0.819,0.819,0.818,0.44821745605468755,0.39140194411277773,2.088,0.969035518563787
13,0.814,0.814,0.814,0.813,0.45093176269531254,0.38501821994781493,2.079,0.9668789477142543
14,0.812,0.812,0.812,0.812,0.45257834472656255,0.38481035718917844,2.085,0.966517825907488
15,0.812,0.811,0.812,0.811,0.457247509765625,0.3886292364597321,1.466,0.9661887360980508
16,0.816,0.815,0.816,0.815,0.44781108398437497,0.38563244805336,1.666,0.9675794852705122
17,0.817,0.817,0.817,0.816,0.44765678710937495,0.38812113666534426,2.049,0.9685206390508047
18,0.814,0.815,0.814,0.814,0.4486231201171875,0.3864099998474121,2.035,0.9692355736586841
19,0.82,0.82,0.82,0.819,0.44652802734374997,0.3898242033481598,1.888,0.9689601678075329
20,0.814,0.814,0.814,0.813,0.45281567382812504,0.3878627746582031,1.747,0.9673216372524835
21,0.817,0.817,0.817,0.816,0.44983012695312496,0.3885166642189026,2.232,0.9674378210972823
22,0.825,0.825,0.825,0.824,0.445940087890625,0.39469517350196837,1.829,0.9689905079840424
23,0.817,0.818,0.817,0.817,0.45038271484375003,0.3900894389629364,1.415,0.9680794354797688
24,0.817,0.817,0.817,0.816,0.45277631835937504,0.39055894031524657,2.115,0.9673692269764645
25,0.821,0.822,0.821,0.821,0.450881201171875,0.39338880052566527,1.644,0.9670813529343967
26,0.824,0.823,0.824,0.823,0.4496322265625,0.3975041696548462,2.303,0.9700806458400617
27,0.824,0.824,0.824,0.823,0.4485453857421875,0.3962646646499634,2.085,0.9691971591523378
28,0.811,0.811,0.811,0.81,0.4570099609375,0.38729124455451963,2.052,0.9667815232448096
29,0.819,0.819,0.819,0.818,0.44857812500000005,0.3911382346630096,2.187,0.9689881858102177
30,0.811,0.812,0.811,0.811,0.4548531494140625,0.3846289920091629,2.197,0.9657547592599327
31,0.816,0.817,0.816,0.816,0.4495472412109375,0.3885957971572876,1.711,0.9682410183414719
32,0.817,0.817,0.817,0.816,0.4492937255859375,0.3902788852214813,2.175,0.9691077049688707
33,0.817,0.817,0.817,0.816,0.44769118652343753,0.38834415717124937,2.041,0.968764095812707
34,0.819,0.819,0.819,0.818,0.4497085205078125,0.3909653649806976,1.391,0.9681539737569897
35,0.814,0.814,0.814,0.814,0.447388916015625,0.38467679796218873,2.243,0.9682192368606556
