,accuracy,precision,recall_score,f1score,brierscore,expectedcalibrationerror,inferencetime,auroc
0,0.809,0.811,0.809,0.81,0.4580568359375,0.3863810510158539,1.853,0.964284963701062
1,0.82,0.822,0.82,0.82,0.45212221679687503,0.39487155389785766,1.771,0.9673563034327595
2,0.816,0.818,0.816,0.816,0.44981918945312505,0.3860977167129517,1.634,0.9648046886558201
3,0.808,0.811,0.808,0.809,0.45869377441406245,0.3859671378135681,1.384,0.9641645863492248
4,0.816,0.819,0.816,0.817,0.45261867675781253,0.3909759333133698,1.795,0.9664418962778111
5,0.817,0.819,0.817,0.817,0.4522738037109375,0.3908535861492157,1.642,0.9664370029200133
6,0.811,0.812,0.811,0.811,0.45439841308593754,0.38574393129348755,1.691,0.9658026402633076
7,0.817,0.819,0.817,0.817,0.4532689208984375,0.3925802739620209,1.243,0.9669139023244305
8,0.82,0.822,0.82,0.82,0.452101171875,0.3947325001716614,1.405,0.9669495706558363
9,0.818,0.821,0.818,0.818,0.4515399658203125,0.3924139859199524,1.402,0.9671103249992535
10,0.817,0.818,0.817,0.816,0.45112800292968747,0.3891663016796112,1.525,0.9659727249129656
11,0.82,0.822,0.82,0.82,0.44974165039062497,0.39388654985427857,1.662,0.9674247895530833
12,0.815,0.816,0.815,0.814,0.45174482421874995,0.38836200585365294,1.609,0.9666054250694988
13,0.816,0.817,0.816,0.816,0.45134519042968746,0.3905450436115265,1.630,0.967002361741325
14,0.811,0.814,0.811,0.812,0.45118771972656246,0.3840931732177734,1.786,0.9659773293675821
15,0.814,0.816,0.814,0.814,0.45581711425781246,0.3898279577732086,1.704,0.9653421791931773
16,0.813,0.815,0.813,0.813,0.4524241943359375,0.3867452742576599,1.688,0.9661253848750624
17,0.813,0.814,0.813,0.813,0.4528899658203125,0.3875188907623291,1.634,0.9661584544681269
18,0.814,0.815,0.814,0.814,0.45543037109374995,0.38921741809844973,1.369,0.9654762796298659
19,0.81,0.811,0.81,0.81,0.45303486328125,0.3843823482990265,1.705,0.9659425466191521
20,0.816,0.818,0.816,0.816,0.45057385253906246,0.39037681679725644,1.710,0.9678435536738599
21,0.815,0.816,0.815,0.814,0.4545762451171875,0.389496862411499,1.480,0.9653035004278958
22,0.814,0.815,0.814,0.814,0.4536452392578125,0.3898577428817749,1.690,0.9671126462490738
23,0.811,0.812,0.811,0.811,0.4578843017578125,0.38741050176620484,1.483,0.9640559145815825
24,0.817,0.819,0.817,0.818,0.4540899169921875,0.3930867630004883,1.684,0.9663011304429041
25,0.816,0.819,0.816,0.816,0.45385661621093754,0.3916918532848358,1.739,0.9670694318187252
26,0.816,0.818,0.816,0.816,0.4508225830078125,0.3901091973781586,1.697,0.9671309639512163
27,0.822,0.823,0.822,0.822,0.44667746582031254,0.39133642444610595,1.728,0.966999139568706
28,0.814,0.817,0.814,0.814,0.4536989501953125,0.3908460886478424,1.336,0.9670355958588421
29,0.815,0.816,0.815,0.815,0.45338706054687505,0.39069054131507874,1.851,0.9663529738559917
30,0.81,0.812,0.81,0.81,0.4533887451171875,0.3843071983337402,1.806,0.9654213088308733
31,0.815,0.816,0.815,0.815,0.457317822265625,0.3917938683509827,1.467,0.9647428899176193
32,0.812,0.813,0.812,0.812,0.4512491455078125,0.3848187502861023,1.449,0.9665027053184634
33,0.812,0.813,0.812,0.811,0.453950830078125,0.3856288133144379,2.011,0.9651035464912849
34,0.811,0.813,0.811,0.811,0.4531994873046875,0.38477845730781557,1.590,0.9655691901826918
35,0.807,0.809,0.807,0.807,0.45521982421874996,0.38172417192459107,1.764,0.9643821376919333
36,0.813,0.815,0.813,0.813,0.45022937011718756,0.3856410012722015,1.775,0.9658701482308905
37,0.814,0.816,0.814,0.814,0.45628681640625,0.39160624499320984,1.894,0.966254122369369
38,0.814,0.816,0.814,0.814,0.45553837890625004,0.3906982057571411,1.675,0.965768649115452
