,time
0,1.062
1,1.018
2,0.882
3,0.908
4,0.819
5,0.826
6,0.81
7,0.93
8,0.755
9,0.771
10,0.838
11,0.759
12,0.765
13,0.763
14,0.888
15,0.908
16,0.743
17,0.756
18,0.753
19,0.751
20,0.746
21,0.74
22,0.759
23,0.765
24,0.729
25,0.733
26,0.735
27,0.778
28,0.746
29,0.752
30,0.76
31,0.756
32,0.758
33,0.78
34,0.766
35,0.757
36,0.752
37,0.751
38,0.774
39,0.771
40,0.779
41,0.73
42,0.736
43,0.769
44,0.758
45,0.75
46,0.746
47,0.74
48,0.757
49,0.743
50,0.742
51,0.744
52,1.009
53,0.765
54,0.775
55,0.74
56,0.735
57,0.736
58,0.747
59,0.746
60,0.727
61,0.753
62,0.831
63,0.922
64,0.872
65,0.836
66,0.801
67,0.816
68,0.797
69,0.733
70,0.741
71,0.736
72,0.749
73,0.778
74,0.745
75,0.752
76,0.764
77,0.958
78,0.982
79,0.825
80,0.894
81,0.938
82,0.989
83,1.167
84,0.82
85,0.841
86,0.804
87,0.825
88,0.771
89,0.751
90,0.752
91,0.742
92,0.776
93,0.769
94,0.768
95,0.745
96,0.757
97,0.767
98,0.775
99,0.746
