,time
0,6.797
1,5.861
2,5.703
3,6.502
4,5.559
5,5.477
6,5.709
7,5.876
8,5.761
9,6.523
10,5.907
11,5.811
12,5.774
13,5.93
14,5.763
15,5.726
16,5.766
17,5.73
18,5.807
19,5.707
20,5.823
21,5.552
22,5.529
23,5.521
24,6.078
25,5.71
26,5.539
27,5.44
28,5.401
29,6.445
30,5.629
31,5.472
32,5.543
33,5.68
34,5.497
35,5.389
36,5.442
37,5.415
38,5.374
39,5.444
40,5.383
41,5.425
42,5.565
43,5.365
44,5.746
45,5.46
46,5.339
47,5.656
48,5.69
49,5.592
50,5.455
51,5.673
52,5.888
53,5.956
54,5.634
55,5.853
56,5.647
57,5.804
58,6.344
59,5.647
60,5.797
61,6.283
62,6.597
63,6.368
64,6.69
65,6.259
66,5.602
67,5.674
68,5.607
69,5.465
70,5.506
71,5.627
72,5.533
73,5.478
74,5.258
75,5.454
76,5.448
77,5.552
78,5.48
79,6.056
80,6.006
81,5.641
82,5.571
83,5.43
84,5.421
85,5.643
86,5.59
87,5.434
88,5.432
89,5.474
90,5.413
91,5.356
92,5.425
93,5.422
94,5.446
95,5.502
96,5.455
97,5.786
98,5.829
99,6.104
