,time
0,2.335
1,1.798
2,1.748
3,1.861
4,1.615
5,1.661
6,1.574
7,1.59
8,1.6
9,1.568
10,1.573
11,1.561
12,1.585
13,1.589
14,1.653
15,1.613
16,1.653
17,1.848
18,1.667
19,1.721
20,2.011
21,1.81
22,1.679
23,1.852
24,1.716
25,1.666
26,1.712
27,1.576
28,1.572
29,1.801
30,1.693
31,1.673
32,1.872
33,2.051
34,1.916
35,1.788
36,1.616
37,1.602
38,1.579
39,1.544
40,1.585
41,1.575
42,1.659
43,1.746
44,1.922
45,1.915
46,1.895
47,1.754
48,1.679
49,1.685
50,1.887
51,1.976
52,1.865
53,1.926
54,1.65
55,1.61
56,1.574
57,1.536
58,1.559
59,1.52
60,1.551
61,1.55
62,1.562
63,1.597
64,1.68
65,1.628
66,1.565
67,1.535
68,1.582
69,1.532
70,1.564
71,1.573
72,1.57
73,1.663
74,1.565
75,1.582
76,1.58
77,1.682
78,1.653
79,1.553
80,1.613
81,1.578
82,1.556
83,1.558
84,1.534
85,1.557
86,1.565
87,1.55
88,1.566
89,1.545
90,1.563
91,1.547
92,1.532
93,1.555
94,1.529
95,1.573
96,1.547
97,1.894
98,1.92
99,1.535
