,time
0,12.555
1,11.872
2,11.361
3,11.548
4,11.055
5,11.085
6,11.149
7,12.017
8,12.309
9,11.61
10,11.788
11,11.536
12,12.491
13,11.158
14,10.671
15,11.07
16,10.451
17,10.521
18,10.832
19,10.744
20,11.228
21,11.046
22,10.504
23,10.662
24,10.694
25,10.572
26,10.393
27,10.787
28,10.327
29,10.744
30,10.644
31,10.966
32,10.513
33,10.381
34,10.417
35,10.55
36,10.443
37,10.405
38,11.009
39,10.557
40,10.841
41,11.952
42,10.862
43,10.735
44,10.672
45,10.794
46,11.786
47,11.678
48,11.213
49,12.277
50,11.066
51,10.711
52,10.862
53,10.949
54,11.248
55,10.643
56,10.484
57,10.426
58,10.456
59,10.297
60,10.244
61,10.387
62,10.323
63,10.5
64,10.554
65,10.74
66,11.404
67,10.741
68,10.949
69,10.86
70,10.96
71,10.621
72,10.459
73,10.384
74,10.671
75,11.383
76,10.731
77,10.449
78,10.304
79,10.45
80,10.712
81,10.431
82,10.522
83,10.363
84,10.399
85,10.458
86,10.37
87,10.558
88,11.021
89,10.732
90,11.969
91,12.895
92,11.087
93,10.952
94,10.814
95,10.537
96,10.446
97,10.615
98,10.677
99,10.58
