,time
0,1.515
1,1.529
2,1.444
3,1.181
4,1.17
5,1.287
6,1.324
7,1.19
8,1.166
9,1.21
10,1.18
11,1.121
12,1.181
13,1.1
14,1.084
15,1.13
16,1.144
17,1.155
18,1.163
19,1.178
20,1.143
21,1.072
22,1.093
23,1.107
24,1.047
25,1.052
26,1.076
27,1.069
28,1.069
29,1.167
30,1.135
31,1.052
32,1.024
33,1.044
34,1.044
35,1.067
36,1.058
37,1.082
38,1.065
39,1.057
40,1.096
41,1.082
42,1.035
43,1.148
44,1.053
45,1.049
46,1.049
47,1.053
48,1.091
49,1.148
50,1.122
51,1.136
52,1.184
53,1.066
54,1.048
55,1.076
56,1.087
57,1.085
58,1.076
59,1.101
60,1.053
61,1.047
62,1.062
63,1.037
64,1.027
65,1.021
66,1.053
67,1.045
68,1.052
69,1.061
70,1.085
71,1.068
72,1.035
73,1.253
74,1.062
75,1.037
76,1.02
77,1.075
78,1.069
79,1.141
80,1.076
81,1.103
82,1.044
83,1.037
84,1.038
85,1.048
86,1.029
87,1.035
88,1.051
89,1.027
90,1.014
91,1.051
92,1.068
93,1.045
94,1.056
95,1.069
96,1.122
97,1.042
98,1.045
99,1.045
