,time
0,6.532
1,6.032
2,6.139
3,6.066
4,5.929
5,5.873
6,5.864
7,5.848
8,5.767
9,5.824
10,5.958
11,6.007
12,6.104
13,6.046
14,5.904
15,5.808
16,5.818
17,5.838
18,5.798
19,6.303
20,5.927
21,6.33
22,6.187
23,6.109
24,5.98
25,6.42
26,6.219
27,6.455
28,7.341
29,6.613
30,6.238
31,6.085
32,6.005
33,5.911
34,5.986
35,6.026
36,5.977
37,5.996
38,5.875
39,5.877
40,5.829
41,5.816
42,5.813
43,5.985
44,6.092
45,6.46
46,6.545
47,6.125
48,6.021
49,5.989
50,5.915
51,5.971
52,6.011
53,5.959
54,5.93
55,5.945
56,5.93
57,5.997
58,5.905
59,5.975
60,6.151
61,6.134
62,6.919
63,6.293
64,6.171
65,6.049
66,6.171
67,6.166
68,6.814
69,7.638
70,7.782
71,7.916
72,7.005
73,6.528
74,6.284
75,6.271
76,5.984
77,5.895
78,5.907
79,5.843
80,5.787
81,5.799
82,5.755
83,6.014
84,6.487
85,6.672
86,6.309
87,6.153
88,6.08
89,6.158
90,6.087
91,6.302
92,6.097
93,6.29
94,6.595
95,6.156
96,6.114
97,6.073
98,6.062
99,6.156
