,time
0,1.345
1,1.437
2,1.443
3,1.187
4,1.229
5,1.099
6,1.245
7,1.08
8,1.164
9,1.062
10,1.037
11,1.024
12,1.047
13,1.089
14,1.046
15,1.022
16,1.033
17,1.033
18,1.074
19,1.027
20,1.057
21,1.045
22,1.025
23,1.033
24,1.04
25,1.166
26,1.03
27,1.018
28,1.061
29,1.065
30,1.071
31,1.098
32,1.069
33,1.072
34,1.023
35,1.091
36,1.089
37,1.038
38,1.026
39,1.054
40,1.011
41,1.023
42,1.035
43,1.064
44,1.033
45,1.03
46,1.091
47,1.069
48,1.041
49,1.082
50,1.122
51,1.127
52,1.095
53,1.041
54,1.078
55,1.057
56,1.056
57,1.048
58,1.05
59,1.041
60,1.04
61,1.047
62,1.039
63,1.283
64,1.17
65,1.148
66,1.131
67,1.161
68,1.179
69,1.178
70,1.131
71,1.14
72,1.108
73,1.157
74,1.127
75,1.154
76,1.112
77,1.129
78,1.178
79,1.124
80,1.074
81,1.106
82,1.267
83,1.101
84,1.103
85,1.103
86,1.057
87,1.046
88,1.028
89,1.062
90,1.407
91,1.348
92,1.37
93,1.273
94,1.189
95,1.113
96,1.088
97,1.035
98,1.021
99,1.091
