,time
0,5.856
1,5.706
2,5.749
3,5.714
4,5.729
5,6.045
6,5.835
7,5.464
8,5.427
9,5.377
10,5.4
11,5.544
12,5.321
13,5.374
14,5.401
15,5.251
16,5.325
17,5.4
18,5.307
19,5.32
20,5.411
21,5.417
22,5.532
23,5.966
24,5.815
25,5.548
26,5.866
27,5.592
28,5.434
29,5.406
30,6.64
31,5.848
32,5.468
33,5.455
34,5.366
35,5.275
36,5.316
37,5.338
38,5.561
39,5.336
40,5.596
41,5.513
42,5.559
43,5.542
44,5.477
45,5.424
46,5.392
47,5.418
48,5.399
49,5.283
50,5.267
51,5.388
52,5.315
53,5.268
54,5.271
55,5.302
56,5.355
57,5.367
58,5.377
59,5.363
60,5.31
61,5.324
62,5.356
63,5.347
64,5.405
65,5.446
66,5.397
67,5.522
68,6.366
69,6.075
70,5.806
71,5.647
72,5.62
73,5.895
74,6.378
75,5.79
76,5.797
77,5.804
78,5.504
79,5.536
80,5.323
81,5.646
82,5.375
83,5.623
84,5.467
85,5.335
86,5.279
87,5.301
88,5.284
89,5.224
90,5.292
91,5.288
92,5.411
93,5.443
94,5.618
95,5.937
96,5.483
97,5.417
98,5.352
99,5.406
