,time
0,0.057
1,0.073
2,0.061
3,0.072
4,0.034
5,0.04
6,0.015
7,0.042
8,0.007
9,0.045
10,0.034
11,0.044
12,0.015
13,0.041
14,0.014
15,0.041
16,0.007
17,0.04
18,0.007
19,0.04
20,0.03
21,0.062
22,0.065
23,0.061
24,0.062
25,0.064
26,0.021
27,0.049
28,0.01
29,0.043
30,0.012
31,0.04
32,0.011
33,0.041
34,0.039
35,0.043
36,0.01
37,0.04
38,0.01
39,0.039
40,0.008
41,0.042
42,0.032
43,0.053
44,0.042
45,0.045
46,0.009
47,0.04
48,0.041
49,0.044
50,0.007
51,0.041
52,0.041
53,0.045
54,0.049
55,0.058
56,0.015
57,0.041
58,0.006
59,0.041
60,0.008
61,0.069
62,0.018
63,0.043
64,0.041
65,0.05
66,0.008
67,0.041
68,0.041
69,0.044
70,0.033
71,0.044
72,0.01
73,0.039
74,0.007
75,0.041
76,0.014
77,0.041
78,0.037
79,0.044
80,0.042
81,0.043
82,0.042
83,0.044
84,0.038
85,0.046
86,0.008
87,0.04
88,0.011
89,0.041
90,0.008
91,0.04
92,0.009
93,0.041
94,0.041
95,0.044
96,0.007
97,0.042
98,0.033
99,0.041
