,time
0,0.031
1,0.048
2,0.009
3,0.04
4,0.013
5,0.04
6,0.007
7,0.04
8,0.008
9,0.039
10,0.006
11,0.04
12,0.028
13,0.044
14,0.014
15,0.042
16,0.007
17,0.04
18,0.021
19,0.043
20,0.032
21,0.044
22,0.008
23,0.04
24,0.038
25,0.043
26,0.008
27,0.041
28,0.043
29,0.047
30,0.009
31,0.039
32,0.028
33,0.043
34,0.01
35,0.04
36,0.008
37,0.039
38,0.012
39,0.041
40,0.005
41,0.04
42,0.009
43,0.039
44,0.007
45,0.04
46,0.009
47,0.04
48,0.041
49,0.046
50,0.006
51,0.04
52,0.041
53,0.041
54,0.012
55,0.039
56,0.006
57,0.039
58,0.038
59,0.043
60,0.027
61,0.043
62,0.014
63,0.04
64,0.028
65,0.042
66,0.01
67,0.04
68,0.023
69,0.041
70,0.005
71,0.04
72,0.008
73,0.039
74,0.039
75,0.041
76,0.006
77,0.041
78,0.007
79,0.04
80,0.008
81,0.04
82,0.008
83,0.042
84,0.006
85,0.04
86,0.007
87,0.042
88,0.006
89,0.041
90,0.008
91,0.04
92,0.008
93,0.033
94,0.033
95,0.078
96,0.029
97,0.046
98,0.007
99,0.041
