,time
0,0.044
1,0.082
2,0.023
3,0.048
4,0.012
5,0.041
6,0.029
7,0.043
8,0.021
9,0.042
10,0.067
11,0.043
12,0.031
13,0.043
14,0.028
15,0.046
16,0.031
17,0.047
18,0.027
19,0.048
20,0.029
21,0.051
22,0.033
23,0.048
24,0.03
25,0.048
26,0.014
27,0.04
28,0.029
29,0.046
30,0.025
31,0.046
32,0.029
33,0.048
34,0.012
35,0.041
36,0.032
37,0.042
38,0.011
39,0.041
40,0.019
41,0.045
42,0.033
43,0.044
44,0.032
45,0.05
46,0.022
47,0.044
48,0.024
49,0.048
50,0.03
51,0.049
52,0.025
53,0.044
54,0.036
55,0.051
56,0.105
57,0.044
58,0.029
59,0.051
60,0.028
61,0.045
62,0.006
63,0.04
64,0.029
65,0.043
66,0.006
67,0.04
68,0.008
69,0.041
70,0.005
71,0.04
72,0.03
73,0.042
74,0.088
75,0.04
76,0.034
77,0.043
78,0.02
79,0.045
80,0.034
81,0.049
82,0.006
83,0.04
84,0.005
85,0.042
86,0.006
87,0.04
88,0.005
89,0.041
90,0.012
91,0.041
92,0.029
93,0.043
94,0.066
95,0.04
96,0.024
97,0.05
98,0.025
99,0.045
