,time
0,0.032
1,0.045
2,0.017
3,0.042
4,0.042
5,0.045
6,0.012
7,0.04
8,0.046
9,0.043
10,0.009
11,0.04
12,0.006
13,0.04
14,0.007
15,0.041
16,0.042
17,0.049
18,0.039
19,0.044
20,0.008
21,0.04
22,0.034
23,0.041
24,0.047
25,0.044
26,0.015
27,0.041
28,0.009
29,0.04
30,0.029
31,0.044
32,0.045
33,0.041
34,0.01
35,0.036
36,0.032
37,0.044
38,0.013
39,0.041
40,0.028
41,0.043
42,0.027
43,0.044
44,0.016
45,0.039
46,0.008
47,0.041
48,0.034
49,0.043
50,0.044
51,0.041
52,0.012
53,0.039
54,0.012
55,0.038
56,0.008
57,0.039
58,0.011
59,0.038
60,0.033
61,0.049
62,0.031
63,0.042
64,0.01
65,0.054
66,0.013
67,0.048
68,0.006
69,0.04
70,0.026
71,0.047
72,0.007
73,0.041
74,0.005
75,0.04
76,0.005
77,0.04
78,0.008
79,0.04
80,0.006
81,0.04
82,0.032
83,0.043
84,0.01
85,0.038
86,0.008
87,0.039
88,0.032
89,0.042
90,0.009
91,0.041
92,0.008
93,0.041
94,0.006
95,0.04
96,0.007
97,0.039
98,0.009
99,0.039
