,time
0,0.033
1,0.057
2,0.056
3,0.052
4,0.045
5,0.054
6,0.023
7,0.04
8,0.028
9,0.044
10,0.009
11,0.039
12,0.041
13,0.033
14,0.014
15,0.04
16,0.008
17,0.04
18,0.008
19,0.041
20,0.007
21,0.04
22,0.006
23,0.04
24,0.014
25,0.041
26,0.009
27,0.04
28,0.041
29,0.043
30,0.052
31,0.042
32,0.042
33,0.043
34,0.012
35,0.04
36,0.009
37,0.04
38,0.008
39,0.045
40,0.007
41,0.039
42,0.011
43,0.038
44,0.031
45,0.044
46,0.029
47,0.045
48,0.045
49,0.048
50,0.01
51,0.04
52,0.008
53,0.041
54,0.008
55,0.041
56,0.045
57,0.042
58,0.01
59,0.04
60,0.009
61,0.041
62,0.009
63,0.04
64,0.013
65,0.04
66,0.009
67,0.041
68,0.009
69,0.04
70,0.008
71,0.038
72,0.012
73,0.04
74,0.006
75,0.04
76,0.007
77,0.04
78,0.029
79,0.042
80,0.009
81,0.04
82,0.007
83,0.039
84,0.008
85,0.041
86,0.007
87,0.041
88,0.012
89,0.041
90,0.029
91,0.043
92,0.008
93,0.04
94,0.007
95,0.039
96,0.006
97,0.04
98,0.037
99,0.041
