,time
0,0.052
1,0.081
2,0.028
3,0.047
4,0.017
5,0.04
6,0.023
7,0.042
8,0.024
9,0.045
10,0.043
11,0.044
12,0.008
13,0.04
14,0.015
15,0.04
16,0.009
17,0.041
18,0.008
19,0.039
20,0.006
21,0.04
22,0.03
23,0.042
24,0.035
25,0.04
26,0.043
27,0.044
28,0.009
29,0.04
30,0.009
31,0.041
32,0.092
33,0.05
34,0.036
35,0.044
36,0.044
37,0.043
38,0.041
39,0.044
40,0.221
41,0.043
42,0.008
43,0.041
44,0.035
45,0.043
46,0.013
47,0.039
48,0.04
49,0.044
50,0.034
51,0.042
52,0.037
53,0.043
54,0.026
55,0.047
56,0.009
57,0.04
58,0.008
59,0.041
60,0.039
61,0.051
62,0.031
63,0.049
64,0.01
65,0.041
66,0.007
67,0.04
68,0.006
69,0.038
70,0.008
71,0.038
72,0.006
73,0.079
74,0.054
75,0.043
76,0.044
77,0.051
78,0.011
79,0.04
80,0.036
81,0.045
82,0.047
83,0.048
84,0.043
85,0.043
86,0.012
87,0.039
88,0.032
89,0.044
90,0.012
91,0.041
92,0.007
93,0.041
94,0.008
95,0.039
96,0.042
97,0.042
98,0.008
99,0.04
