,time
0,0.024
1,0.061
2,0.017
3,0.046
4,0.019
5,0.041
6,0.011
7,0.04
8,0.031
9,0.048
10,0.005
11,0.04
12,0.007
13,0.039
14,0.008
15,0.041
16,0.031
17,0.048
18,0.006
19,0.039
20,0.005
21,0.041
22,0.007
23,0.04
24,0.006
25,0.043
26,0.019
27,0.042
28,0.008
29,0.039
30,0.025
31,0.046
32,0.037
33,0.043
34,0.009
35,0.039
36,0.013
37,0.037
38,0.004
39,0.043
40,0.034
41,0.043
42,0.029
43,0.044
44,0.004
45,0.04
46,0.008
47,0.04
48,0.009
49,0.04
50,0.01
51,0.04
52,0.005
53,0.04
54,0.006
55,0.041
56,0.01
57,0.039
58,0.018
59,0.041
60,0.03
61,0.043
62,0.01
63,0.043
64,0.008
65,0.04
66,0.006
67,0.041
68,0.023
69,0.042
70,0.006
71,0.039
72,0.008
73,0.04
74,0.008
75,0.045
76,0.005
77,0.039
78,0.006
79,0.039
80,0.007
81,0.042
82,0.031
83,0.043
84,0.038
85,0.043
86,0.026
87,0.044
88,0.006
89,0.04
90,0.005
91,0.041
92,0.007
93,0.048
94,0.009
95,0.04
96,0.009
97,0.038
98,0.006
99,0.052
